,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.108004846341249,0,-0.0120416452393212,0.0319781524580485,0,0.053236644757873,0,0,0,0,0
ETH,0,0,-0.0143323546445044,0,-0.000000000000000000867361737988404,0.000000000000000000867361737988404,0.152775216628358,0.0232670229353426,0,0,0,-0.0123153742637063,0.0478414401408432,0,0,0,0,0
XRP,0,0,0,0,-0.132465136230874,0,0,0,0,0.445507470476237,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.107495942439733,0,0,0,0,0,0,0
ETC,0,0.179381953514268,-0.0403707813933409,0,0,0.0126257146370863,-0.000000000000000000867361737988404,0,0,0,0,-0.0378906371995475,0.287735545747262,0,0,0,0,0
LTC,0,-0.0899172614281428,0,0,0,0,0.091121545834463,0.158445843643051,0,0.079095628546572,0.0743328579961401,-0.0779484655538857,0.119264408921611,0,0,0,0,0.0640837296528898
DASH,0,0.0359753578743499,-0.0861323709103546,0,0,0.00796394281730252,0,0.229927109833307,0.11786779523262,0.00385998645796376,0,0,0.0706460905340661,0,0,0,0,0
XMR,0,0,0,0.0807480112519994,0,-0.000000000000000000867361737988404,0.224484756679524,0,0,0.0418455279257384,0,0,0.0199912729595994,0,0,0,0,0
ZEC,0,0.252878154768306,0,0.0644959943511304,0,0,0,0.00861338262446038,0,0,0.0368642638809737,0.00774665761529184,0.0485987193665578,0,0,0,0,0
XLM,0,0,0.43127338610056,0,0,0.00000000000000000173472347597681,0,0.149021896982673,0,0,0.062609913332818,0.0290877439449657,0,0,0,0,0,0
DOGE,0,0,0.170998373424202,0.0979894963294658,0,0.162347799084364,0,0,0.13894707089548,0.0649943218882279,0,0,0.0895032769053897,0,0,0,0,0
DGB,0,0,-0.304694395783334,0,-0.388912758904162,-0.0938572235664273,0,0.218164087376653,0,0.268655217594632,0.434173895482815,0,0.0599057851769,0,0,0,0,-0.459109066766014
NEO,0,0,0,0,0,0,0,0,0.149237136472015,0,0.031706224792064,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0131849444350635,0,0,0,0,0,0,0.00318556687817161,0,0,0.0173408333119777,0,0,0,0,-0.0493689704824919
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.000402512047903254,0,-0.00299069825304538,0.00166208209201939,0,0,0,0,0
SPX.INDEX,0,0,0,-0.0000000719547061351273,0,0,0,0,0,0.000000105727303031317,0,0.000000339212130699103,0,0,0,0,0,-0.0255018758720959
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
