,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.080493437646577,0.0723403625790318,0.037061562791586,0,0,0,0.0865936726038975,0,0,0,0,0
XRP,0,0,0,0,0.240094954175369,0.239113771358772,-0.0536476888070546,0,-0.0369207581950829,0,0,0,0,-0.0618130446060083
LTC,0,0,0,0,0.124789290772876,0,0,0.0619051933722899,0,0,0,0,0,0.100151338907417
DASH,0,0.11078781493386,0.048335177360848,0,0.0176332389314348,0.0861340153510979,0.145976496035924,0,0,0,0,0,0,0
DOGE,0,0,0.0770520523418054,0.265026819095464,0,0.219152007853747,0,0,0,0,0,0,0,0
XLM,0,0.239482240225845,0.0134578863492986,0,0.266170219053321,0,0,0,0,0,0,0,0,0
XMR,0,0,-0.0109661041746677,0.104038285622502,0,0,0,0,0.399254693544538,0,0,0,0,0
XEM,0,0,0,0,0.220600963589741,0,0,0,0,0,0,0,0,0
DGB,0.0528401297595361,0,0,0,0.0741165990237919,0,0.310962525627783,0.0454944820159535,0,0,0,0,0,0.0161092234589164
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530198358221966
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525531774116668
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685707113548973
VIX.INDEX,0,0,0,0,0.00000103256162703887,0,-0.00000117672471612663,0.00000292109627169135,0,-0.21807948061759,0.152630019138974,0,-2.68802131418674,0
