,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,XLM,ADA,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.016503795270142,0,-0.00000000000000000010842021724855,0,0,0.163064860891628,0.0400871131922572,0,0.0155340507098461,0.141157912292187,-0.0000000000000000000542101086242752,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.172071106096301,0,0.0597606002753324,0.0284562625762744,-0.000000000000000000867361737988404,0.139406259422419,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0845932676747405,0,0.104639331121242,0.00768091769408717,0.298413104993469,0,0,0.0452476541109484,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.155545892002145,0,0.0225546508897482,0.259542141555237,0.00885218811362002,0,0,0,0,0,0,0,0
LTC,0,0.0664966566159498,0.0347861978347817,0.0370579299542824,0,0,0.00252116789184546,0.055286121926771,0.0186873370987719,0,0.654629080412621,0,0,0,0.0459058065605061,0,0,0,0,0
DASH,0,0,0,0,0.0184908649239145,0,0.128598315138025,0,0,0.091229374061755,0,0,0,0.204980226044408,0,0,0,0,0,0
XEM,0,0.202304798196029,0,0,0.017972960739979,0,0,0.0173744260842501,0,0.158410269990113,0,0.119225572637406,0,0,0,0,0,0,0,0
NEO,0,0,0,0.182495522734182,0,0,0.0742857200329376,0,0,0,0,0.24378753283171,0,0,0.328522547868654,0,0,0,0,0
XMR,0,0,0.0914737362680755,0,0,0,0.123288430563967,0.0162013223779671,0,0,0,0.0172543716240104,0,0.256462502479364,0,0,0,0,0,0
MIOTA,0,0,0,0.00842035261883327,0,0.198959753427441,0.225614492090421,0,0,0,0,0.0441633586605141,0,0.10592750869503,0.244730135203619,0,0,0,0,0
ETC,0,0,0,0,0.333328386925243,0,0,0,0,0.0622191223816048,0,0.0042749420962165,0,0.0165431874261912,0,0,0,0,0,0
XLM,0,0,0.371024948496805,0.0195898105352344,0,0,0,0.0521544316057074,0.146676969829589,0.126340505406739,0.298965972598345,0,0,0.0650838151500439,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.105153225240655,0.164796137758937,0.0317876164933437,0.0900815965355229,0.0502519026778749,0,0,0,0,0.0761479997359728,0,0,0,0,0
EOS,0,0,0,0,0.129490428936384,0,0,0.108468786207374,0,0.0285775536968256,0.000000000000000000433680868994202,0.00945605968132438,0,0.033055186284748,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426956884669132
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00657064256974139,0,0,0,-0.00371060080295215,-0.00740490384496975,0,0,-0.00060058143018282,0,0,-0.0000311540596213403,0,0,0.00538749002640541,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00000210517497383657,-0.000000440895615921203,0,-0.00000135180034063904,0,0,0,0,0,0,0,0,0,0,-0.0285469483667081
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
