,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.141737615063554,0.0427817417542686,0.0366910383285977,0,0,0.0336761819375079,0.1251660776734,0.0212008472905035,0,0.0967945008856537,0.0647783116828983,0,0,0,0,0,0
ETH,0,0,0,0,0.145581412520271,0.103027028175571,0,0,0.0516642906614977,0,0,0,0.144008867421392,0.0419725672303673,0.0564628464484559,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0321096317144105,0.20746610443914,0,0,0,0,0.120077556781153,0.121565999035634,0,0,0,0,0,0
BCH,0,0,0,0,0.211707365126069,0.0172069539795531,0,0,0.130165938555394,0.0424842575301418,0,0.0233785869725458,0,0,0.0241674054433324,0,0,0,0,0
LTC,0,0,0,0.269741160095654,0,0,0,0,0.0410759087026799,0.0946301824099699,0,0,0.00383155377182248,0.0133715995795033,0.135008747802148,0,0,0,0,0
NEO,0,0.0481455471247123,0,0,0,0,0.127609903742124,0.12682974497221,0,0.105102027208169,0,0,0.0922589053363918,0,0.114840373909969,0,0,0,0,0
ADA,0,0,0.109036757253489,0,0,0,0,0.244289082938247,0.0605375919766796,0.0671317478484649,0,0,0.0755996470093352,0.0785370645646201,0,0,0,0,0,0
XLM,0,0,0.194118510013279,0,0,0,0.307873127105786,0,0,0,0,0,0.152176815746127,0.0226790788331577,0.0647540473261886,0,0,0,0,0
EOS,0,0,0.107193150592584,0,0,0,0,0.0818963142602455,0,0.186054233729585,0,0,0.00471772511907793,0.0667201897008734,0.222961396968282,0,0,0,0,0
XMR,0,0,0,0,0,0.161644788950181,0,0.0539655610193586,0.0511272246710438,0,0.0412268075236074,0.226982839140318,0.0832383955530561,0,0.0582795614752329,0,0,0,0,0
MIOTA,0,0,-0.000000000000000000433680868994202,0.125462188428166,0.0203918223006246,0,0,0,0.115179064659298,0.153735002830717,0,0,0.0403247914500588,0.0361399500473528,0.261805208243541,0,0,0,0,0
DASH,0,0,0.136349492102687,0.016660511238789,0,0,0,0,0.11982792157457,0.152635166319699,0,0,0.0000000000000000000542101086242752,0.0613731785163163,0,0,0,0,0,0
XEM,0,0,-0.000000000000000000867361737988404,0,0,0.051308927171336,0,0.135894194549221,0.271137251974067,0.0732291172754011,0,0,0,0.0247343308086297,0,0,0,0,0,0
TRX,0,0,0.645251763926706,0.10490284156567,0,0,0,0,0.0336619113212719,0,0.110675216285761,0,0.092273236984599,0,0,0,0,0,0,0.0425209502769401
ETC,0,0,0.0708987992209763,0.0536070394018329,0,0.279213935340062,0,0,0.227071165109751,0,0,0,0,0.0579962051018577,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0110081404031094,0,0,0,0,0.00750104713438194,0,0,0,0,0,0,0,0,0,0,-0.0308396786140572
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343000156423357
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651227453844
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
