,BTC,XRP,ETH,XLM,EOS,BCH,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,XEM,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0801956661712677,0.00587443505932621,0,0.00914677856249581,0,0.00479833982837344,0,0.126240696425371,0.133106726247023,0,0.0353050195318986,0,0,0,0,0
XRP,0,0,0,0,0.119425180704883,0.0224983840033097,0,0,0,0.21825878105229,0.0181173703909396,0,0.0391678125325779,0,0,0,0,0,0,0
ETH,0,0.000204636322725275,0,0.0144208964493791,0,0.198334999333873,0,0,0,0,0.017478236240256,0.123366894656603,0,0,0.16351025912202,0,0,0,0,0
XLM,0,0.252944911410037,0,0,0.207806569182606,0.149125348892521,0,0,0,0.285876913256082,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.30804873221819,0,0.0819470883596477,0,0,0,0,0,0,0,0,0.219089790414266,0,0,0,0,0
BCH,0,0,0.207329214560329,0,0.191691098060871,0,0,0.0246597838574444,0,0,0,0,0,0,0.327206067506371,0,0,0,0,0
LTC,0,0,0,0,0,0.0735411726647203,0,0,0,0.150822828414332,0.0831812488480671,0.359853043756664,0,0,0.0346940166305323,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0565851697287803,0,0.109145925814824,0,-0.00154763607051792,0,0.05123673223563,0.107121326525719,0,0.199332631159822,0,0,0,0,0,0,0
ADA,0,0,0,0.167195988017157,0,0.29158031111979,0,0,0,0,0.0592982253698854,0,0,0,0.0445967012961244,0,0,0,0,0
MIOTA,0,0,0,0.0717201921578567,0,0.212067593049598,0,0.0213973028952531,0.0937227707381917,0.0375791108793421,0,0,0,0,0.141787696091488,0,0,0,0,0
XMR,0,0,0,0,0,0.166479417034552,0,0.0013065875949538,0,0,0,0,0,0,0.329581155095773,0,0,0,0,0
BNB,0,0,0,0,0.0596888210107137,0.0693422582249548,0,0,0.227844772877014,0.0150235721737268,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.122959087165137,0,0,0.100075023490369,0,0,0,0,0,0.290571907386239,0,0,0,0,0
DASH,0,0,0,0,0.227428957382486,0.0150124131170127,0,0.00394664787894486,0.0724904400159616,0,0,0.255318520543297,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374025412652366
DXY.INDEX,0,0,0,0,0,0.00140798392690007,0,0.00587312630987606,0,0,0,0,0,0,0,0.0350482991688038,0,0,0,0.00102421883143279
SPX.INDEX,0,0,0,0,0,0.00000015956991714985,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112129856045993
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.00000154525279987911,0,0,-0.0000000000000000000000264697796016969,0,0.354340136504895,0,-2.6465997747985,0
