,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.297727523746854,0,0,0,0,-0.00000000000000000173472347597681,0.000000000000000000216840434497101,0.0927248106673064,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.174296992020711,0.146141587888943,0,0,0,0.0602315948930672,0.095172186701312,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.186869527255023,0,0,0,0.286997777630993,0.0189042299623801,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0722563201715805,0,0,0.140346998382604,0.0370374953214388,0.252068367236276,0.157639948389086,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.105377923170538,0,0,0,0.0409942768202513,0.1818121397506,0.225152319608443,0.216104918365709,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.419031518644821,0.0333573009714427,0,0.0994827231524949,0,0,0.0951697534461759,0,0,0,0,0,0
LTC,0,0,0,0.215251146351633,0.172722233272293,0,0,0,0.112014761218209,0,0.0211942598056414,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.206661580391798,0.15880145121479,0,0,0,0.179896011570984,0,0,0,0.0626884327254361,0,0,0,0,0,0
MIOTA,0,0,0,0.12224406028914,0.31542346189488,0,0,0,0,0,0,0.0915109045023346,0,0.355707555023337,0,0,0,0,0,0
TRX,0,0,0,0.239362129444922,0.188133225848788,0.119965483503649,0,0,0.156043187039869,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.464791020539621,0.00905276378199644,0,0,0,0,0,0,0,0,0.291090024916063,0,0,0,0,0,0
ETC,0,0,0,0,0.0404111338756464,0,0.148858324356203,0,0.132781144469843,0,0.0928718490235602,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0638613231548239,0,0.0541888233714338,0.110063664592962,0.0362826313213869,0,0,0,0.1495665875586,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.234778451121631,0.193331426264692,0.113425857762673,0.27192928543912,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.121166266489229,0.0736673459211756,0,0.00858752225954138,0.0738560203926971,0,0,0.212002501023264,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00213107105065154,0,0.0274893297869879,-0.0203563149177752,0,0,0,0,0,0,0,-0.0638168150256718,0,0,-0.025850700538085
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00010991517011413,0,0,0.0000243918053218742,0,0,0,0,0,0,0,0,0,0,0,0.0318125964850066,0,0,-0.0106606658971193
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461125163092244
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
