,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0.114890041376071,0,0,0,0,0.044096408015246,0.0762173460319434,0,0,0,0,0
ETH,0,0,0,0,0,0,0.00806575592921003,0,0.19244746003615,0.0439328096637331,0,0,0,0.00427744021401963,0.115886988124657,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.22392891141302,0,0,0,0,0,0,0,0,0,0,0.187123258253366,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.401180971848212,0,0.0399260269100332,0,0.00893034258338118,0.00900557010208857,0,0,0,0,0
DASH,0,0,0,0,0,0,0.072211609455426,0,0.0822989177636514,0,0,0.144809701767911,0,0.00000000000000000173472347597681,0.0718739603807126,0,0,0,0,0
XEM,0,0.102391821938997,0.0931415200968361,0,0,0,0,0,0.105115512380463,0,0.0124676634902268,0,0.100325907048702,0,0.179871406224113,0,0,0,0,0
XMR,0,0,0,0.089480791194759,0,0,0,0,0.0281180783380942,0,0,0.0249978116625711,0.238771131530957,0.0824165133477088,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0.118754337303772,0.444290925321522,0,0,0.0560780348383942,0,0,0,0,0
ETC,0,0.238121821215488,0,0,0.0374154913500865,0,0,0.0335144986177519,0,0,0,0,0.0385268663911045,0.0378751063941346,0.0193299968725413,0,0,0,0,0
NEO,0,0,0,0,0,0,0.122971830659112,0,0,0,0,0,0,0.552659913780273,0,0,0,0,0,-0.0151458735239913
ZEC,0,0.0556305455805134,0,0,0,0,0,0,0.158893481953757,0,0,0,0.0539344417033029,0.0909575024442442,0,0,0,0,0,0
XLM,0,0,0,0.17431705500371,0,0,0.0567884540698281,0.243931885160239,0,0.242838414860222,0,0,0,0,0.101938573609575,0,0,0,0,0
EOS,0,0,0,0,0,0,0.00647199369901524,0,0.062721666489113,0,0.0372869422989344,0.0106494957779709,0.111840411143802,0,0.134429232674818,0,0,0,0,0
BAT,0,0.274481759005758,0,0,0,0,0.263233409396109,0,0,0,0.18053822291983,0,-0.00000000000000000010842021724855,0.128068123282452,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00631106913494653,0.0308215707849496,-0.0127711006252822,0,0,0,0,0,0,-0.0331193665655998
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.0000000935500501806691,-0.0000000361837522442421,0,0,0,0,0,0,0,0,0,0,-0.0397022377232172
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
