,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.115678452140356,0,0.104627527246765,0,0.0475626973347478,0,0,0.00713094520332632,0.0817170406811811,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.219729383780267,0.0203926614505024,0.0686593502266405,0,0,0,0.210232868990363,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.22981976754899,0.0457351960638916,0,0,0,0,0.178323617986812,0,0,0,0,0,0,0,0,0,0
EOS,0,0.112238078512017,0,0,0.0751708444008732,0.268908355717436,0,0,0.0194980195072778,0.289625903727569,0,0,0,0,0,0,0,0,0,0
LTC,0,0.018473293063692,0,0.235722767666031,0,0.17660536243893,0,0.00505728638823841,0,0.23582573856281,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.353521012265828,0.210867687335786,0,0,0,0,0,0.0575330209327686,0,0,0,0,0,0,0,0,0
XLM,0,0.139685965733493,0,0.0440538004318064,0,0.144670442233166,0,0,0,0.139870951888032,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.075984502954821,0,0.0917520997184253,0,0,0,0.185838648536437,0,0.112333553508622,0,0,0,0,0,0,0,0
BNB,0,0,0,0.135163021040001,0.195259909253795,0,0,0.271854188374774,0,0,0,0.159640580263689,0,0,0,0,0,0,0,0
ADA,0,0.410000854936819,0,0.248873844794827,0.0932648700259177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0.493918365196811,0,0,0,0.060389048286482,0,0,0,0,0,0,0,0,0,0
XMR,0,0.217323174107727,0,0.162818818794373,0.0854160662660746,0,0,0,0,0.147609579303479,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0563179822056477,0,0.387860318250084,0,0.108519091595594,0,0,0,0.0540484723541203,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.291438884349793,0,0,0,0,0,0.230851518995461,0,0.103416201619424,0,0,0,0,0,0,0,0
MKR,0,0.438641480574035,0,0.192344087253788,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250142618951427
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0.00000000000000000000000661744490042422,0,-0.0000000492880627886562,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104338907050683
VIX.INDEX,0,0.000000624490523523212,0.00000264009144401195,0,0,0.00000142862042677617,0,0,0.00000122430548416733,0,0,0,0,0,0,0,0,0,-3.52641408965324,0
