,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0452735963411053,0.0079965990477331,0,0,0.0324252356022587,0.0345393259131508,0.0151660934528216,0.118815633698928,0,0,0,0.0303014929382453,0,0,0,0,0
ETH,0,0,0,0.210402197666749,0,0,0,0,0.0811049183077197,0.232820980392289,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.116888155761799,0,0,0,0.137762686788452,0.132779077022149,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.257827326048321,0,0,0.113735773445015,0.0138953259043882,0.181283694025245,0.0174608815100524,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0295305064076315,0.1177347103436,0.0884671855253816,0.3432785616003,0.0312624819166801,0,0,0.0221961469807494,0,0,0,0,0
XLM,0,0,0,0.0825431497335843,0,0,0,0.599335634449796,0,0,0,0,0,0,-0.00000000000000000693889390390723,0,0,0,0,0
LTC,0,0,0,0.332328727282557,0.0419563086431516,0,0,0,0.0469360291538418,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.116995732580229,0.148387919887923,0.142916735202563,0,0,0.0769948217547261,0.183673017372956,0,0,0,0,0.0811707687261952,0,0,0,0,0
MIOTA,0,0,0,0.147391000808619,0,0,0,0,0,0,0,0.575259312876806,0,0,0,0,0,0,0,0
TRX,0,0,0,0.318362073601373,0.119989537309447,0.0965560737356846,0,0.0559189842759511,0.077099506255961,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.585951630710096,0.000000000000000000867361737988404,0,0,0,0,0,0,0.0690587065236172,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0622742576214477,0.0835882423945941,0,0,0.0364636668923015,0.290905802461799,0.0944685362901913,0.183508107207546,0,0,0,0.0585361216660188,0,0,0,0,0
DASH,0,0,0,0.260991319782438,0,0.124664200186583,0,0,0.011032828724853,0,0,0.0314687288870658,0,0.0537862188122107,0,0,0,0,0,0
ETC,0,0,0,0.29041935270474,0,0,0,0,0.0660430009244059,0,0.0486697168477091,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.01562554455209,0.151610633099222,0.0517194692808303,0,0.191534366663864,0,0,0,0.0164564531126532,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0681746901574601
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601000089281133
VIX.INDEX,0,0,0,0,-0.00000184819914412854,-0.00000823210157111521,0,0,0,0,0,0.00000367000600857213,0,0,0,-1.07965393603715,0,0,0,0
