,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,ZEC,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.443256934652755,0,0,0,0,0,0,0,0,0,0
ETH,0,0.0147870736290151,0,0,0,0.110012009202058,0.1156711275398,0,0.560265618920415,0,0,0,0,0,-0.130473227397484,0,0,0
LTC,0,0,0,0,0,0,0,0.0483978946593603,0,0,0.138207408789286,-0.0814744043748428,0,0,0,0,0,0
XEM,0,-0.0835614586598724,-0.231107053361301,-0.209047622348746,0,0.132995124250385,0.262695877774209,0.116966575231324,0.544059969270442,0,0,0,0,0,0,0,0,-0.244078299415667
DASH,0,-0.119325166248758,0,0.0309176345383164,0,0,-0.057911018215828,0.0574307077223616,0,0.19714361512381,0,-0.0258178325702266,0,0,0,0,0,0
ETC,0,-0.0299134351780477,0.407044593469779,0.0604117382130491,0,0,0,0,0,0.0479675215975498,0,0,0,0,0,0,0,0
XLM,0,0.438858120524641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0.338780573006508,0,0.118408579460169,0,0,0.0181504202407771,0,0.0202743916086657,0,0,0,0,0,0,0,0
ZEC,0,0.0243671413065121,0,0,0.13536740620728,0.0574694408536887,0.0292365478288135,0,0,0,0.0946712791265811,0,0.116236559240445,0,0,0,0,0
DOGE,0,0.150711482509443,0.0665501646012582,0.0827532692517702,0,0,0.0363223578860458,0.137222864599516,0,0,0,0,0,0,0,0,0,0
DGB,0,-0.223337743458503,0,-0.0815810922842288,0.128526722733986,0,0,0.417642641126809,0,-0.0910813742991892,0.17226343811772,0,0,0,0,0,0,0
NEO,0,0,0,-0.0503301414641527,-0.000258748714896145,0,0,0,0,0.305835590019165,0.0460515988736203,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0000000000000000000542101086242752,0,0,0,0,0.0130261804612451,0,-0.00636989706187646,0,0.00503681320331715,0,0,0,0,0,-0.100947099548242
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000419735660724584,0,0,-0.000121395181622248,0.0011762206455843,0,0,0,0,0,-0.0127608603689813
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
