,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0228365573850602,0,0,0.144947141355333,0.0695191932369675,0.0917837739087793,0,0.142488267770603,0,0,0.0409499783699769,0,0,0,0,0,0
ETH,0,0,0,0,0.0865571326247812,0,0,0,0.0991992391798359,0,0,0,0,0.0804230481958797,0,0,0,0,0,0
XRP,0,0,0,0,0.0696104938361478,0,0,0,0,0,0,0,0,0.327941781409148,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.337514684060441,0.0480376844602815,0.0541483324065312,0,0.199811171035536,0,0,0.117675168924568,0,0,0,0,0,0
LTC,0,0,0,0.0145484876310612,0,0,0,0.028879751244269,0,0.0180055283636298,0.639913807790859,0,0,0.00527835052696474,0,0,0,0,0,0
DASH,0,0,0,0.0318776813658807,0,0,0.150762398633296,0.00547295306154698,0.0714078885421601,0,0,0.158845158687699,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0784011089791838,0.0329625883740789,0,0,0.0442969996248608,0.161004279789269,0,0,0,0,0.170643884246286,0,0,0,0,0,0
NEO,0.674515956497048,0,0,0,0,0,0.305297380190329,0,0,0,0,0,0,0,0,0,0,0,0,-0.0660042201090145
MIOTA,0,0,0,0,0,0.220027419635779,0.281154822044344,0.0523427528532023,0,0.010678165613348,0,0,0,0,0.289366828240063,0,0,0,0,0
XMR,0,0,0.0721117994620677,0.0107664841148894,0,0,0,0,0.0112173905304132,0,0,0.20418925599343,0,0.0831091096495818,0,0,0,0,0,0
ETC,0,0,0,0,0.340175410510845,0,0,0,0,0,0,0.059560209100087,0,0.0392979376098486,0.0184222341537808,0,0,0,0,0
ZEC,0,0,0,0,0,0.0475604598110854,0,0,0.0790651553565216,0,0,0,0,0.290404747055926,0.166385185094555,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.200368576962545,0.365387643842238,0,0,0,0.00701834624694985,0,0,0.101581107481155,0.268390831544137,0.151192527497799,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.126703503909497,0,0,0.0738136965685789,0.0327698731203622,0,0,0.0559631577374686,0,0.043302841551233,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00631107924852499,0,0,0,0,0,0,-0.0096693402033638,0,0,0,0.0105937382311302,0,0,0,0,-0.0360386435272405
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.0000000000000000000000264697796016969,0,0,-0.00000081019259642374,0,0,-0.00000126405324477829,0,0,0,0,0,0,0,0,0,-0.037926869473777
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
