,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,XMR,ADA,TRX,DASH,MIOTA,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.10482523254292,0.07843486578639,0,0,0,0.00368774140327338,0,0.0203831839232514,0,0,0.0489085080755057,0,0,0,0,0,0,0
XRP,0,0,0.250458409014119,0,0.227810292379021,0,0,-0.0206974123153028,0,0,0,0,0.0856965461030863,0,0,0,0,0,0,0
ETH,0,0.08869646954293,0,0.150915819213614,0,0,0.0560779180253118,0,0,0.117756995704576,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.143757846267509,0.0414986691317115,0,0.383849468612598,0,0,0.230977412969401,0,0,0,0,0,0,0
XLM,0,0.254449764779636,0,0.0823682828995838,0,0,0,0,0,0.438840903631041,0.0437476126115014,0,0,0,0,0,0,0,0,0
EOS,0,0.0465127679260495,0,0.16622331089931,0,0,0,0,0,0,0.0189078501585496,0,0.116773079666109,0,0,0,0,0,0,0
LTC,0,0.00384972386543509,0.0389635733627564,0.0801855568458809,0,0,0,0,0,0.122548764598317,0.000665306105511731,0,0.2501955164835,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0536965839822526,0,0,0,0.00458860305366679,0,0.137561696742227,0,0.106620911735256,0.192681550518034,0,0,0,0,0,0,0
ADA,0,0.0118077006121131,0.141786434875324,0.163692241245638,0.287060550526251,0,0,0,0,0,0,0,0.171987477127122,0,0,0,0,0,0,0
TRX,0,0,0.261153164109167,0.0765029713165808,0.0714640420692318,0,0,-0.00020442028631046,0,0.0487456356550664,0,0,0.219970690008675,0,0,0,0,0,0,0
DASH,0,0,0.127477304876265,0,0,0,0,0,0,0.0633774192921196,0,0,0.175548680817087,0.080076986588607,0,0,0,0,0,0
MIOTA,0,0,0,0.179486676017563,0.0878625593545212,0,0,0.0256857925346318,0,0.147986598751175,0.027495869918051,0,0,0,0.197543400391769,0,0,0,0,0
XEM,0,0,0,0.0694034960098596,0,0,0,0,0,0,0.132479586440068,0,0.186003710603123,0,0,0,0,0,0,0
BNB,0,0,0.0291658559572963,0.0829072871863221,0,0,0,0,0,0,0.125599070978505,0,0.0531254263201342,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0.00000382584007465113,0,0,0,0,0,0,0,0,0,0,0,0.0446079653892868
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917287742410636
VIX.INDEX,0,0,0,0,-0.00000403347876722564,0,0,0.00000096113206839198,0,0,0,0,0,-0.000000388123087666942,0.000000872022635918724,0,0.0000227785555146117,0,-4.05634161315502,0
