,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XLM,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.102962068541007,0.0182640749143416,0.0258701052903709,0.109830171239357,0,0,0.0438213993301173,0.00883036695350378,0,0.00649745421727571,0.0341427526081998,0,0,0,0,0,0
ETH,0,0,0,0.0958329667634242,0.0333558082398472,0,0.0661230716838363,0,0,0.0630782685314031,0,0,0.0813637237077797,0.200000974734778,0,0,0,0,0,0
XRP,0,0,0,0.0627208255506737,0.0240579094410418,0.109246487554976,0.0665265121018715,0,0,0,0,0,0,0.214314003035721,0,0,0,0,0,0
BCH,0,0,0,0,0.184328300721805,0.041600414120775,0.0814924809603376,0,0,0,0,0,0,0.277219236472845,0.109748894952757,0,0,0,0,0
BSV,0,0,0,0.471561566200314,0,0,0.297293383320426,0,0,0,0,0,0,0,0.0571317015939524,0,0,0,0,0
LTC,0,0,0,0.286754816695539,0.069100805368821,0,0,0,0,0,0.0542830904795401,0,0.0317026442106714,0.0923302184584363,0,0,0,0,0,0
EOS,0,0,0,0.15188474863446,0.125255419998007,0.0155663762907052,0,0,0,0.0724913048069657,0,0,0.0596570282585174,0,0.000423771257852564,0,0,0,0,0
BNB,0,0,0,0.138466518295199,0.00612389943406126,0,0.0634302206320889,0,0,0,0,0,0,0.247290790094306,0,0,0,0,0,0
XTZ,0,0,0,0,0.00489789873713644,0,0,0,0,0,0.304853540491761,0,0.0780399064005042,0,0,0,0,0,0,0
ADA,0,0.0270503859499534,0,0.0256072740643797,0,0,0.211438359830818,0,0,0,0.0153949235584014,0,0.00310605769118425,0.204419171324607,0.0912898566686132,0,0,0,0,0
LINK,0,0,0,0.0591727023957032,0,0.201946767101834,0,0,0.0920114248056847,0.0024026464628117,0,0,0.0446113525294465,0.0813083384521814,0,0,0,0,0,0
XLM,0,0.019086750790203,0.422233214303888,0,0,0,0,0,0,0,0.110311402050919,0,0,0.0541944168691462,0.0272573525198905,0,0,0,0,-0.0216151964026608
XMR,0,0.0610627594923951,0,0,0,0.150034754829675,0,0,0.0225430021481572,0.147210212114982,0.118850766153477,0,0,0,0.0847949190713185,0,0,0,0,0
TRX,0,0,0,0.20805199127179,0.0134415113441629,0,0.0913761032898895,0,0,0.0306448905235761,0,0,0,0,0.0271703276679612,0,0,0,0,0
ETC,0,0,0,0.47222958371817,0.0311291730211467,0,0,0,-0.138733096728592,0.557150209290148,0,0,0,0,0,0,0,0,0,0.0994641068515774
BV010082.INDEX,0.0154856260563494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861477284594125
CVIX.INDEX,0,0,0,0,0.00000432133528255714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114492352127832
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0588666755032197
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
