,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0594557284318273,0.0269088759788233,0,0,0.0263283872672115,0.020894802068987,0,0,0,0,0.134416558738398,0,0,0,0,0,0
ETH,0,0,0.220227951382748,0.122975575807943,0.0168243555478995,0,0,0.056217398872212,0.0973362515206818,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0723806210454164,0.075430730573967,0,0,0.0988819231797768,0,0,0,0,0,0.358195109674116,0,0,0,0,0,0
BCH,0,0,0,0,0.0169904506665122,0,0.144641432050761,0.0710108936418889,0.206588948058988,0,0,0.169175973169728,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.152298474330197,0,0,0.202478376179646,0.166696110061396,0,0,0,0,0,0,0,0,-0.0250593804287632
LTC,0,0,0.137756793381081,0.201389643115974,0.0354415890261076,0,0.00801593628178913,0,0.017856793058559,0,0,0,0,0.0775341493305095,0,0,0,0,0,0
XLM,0,0,0,0,0.121898964230144,0,0,0.218803768235626,0.0415024126279166,0.0269946535158062,0,0,0,0.212416979091775,0,0,0,0,0,0
ADA,0,0,0.0520497444245827,0.0206659577728631,0.113193235803597,0,0.308534370882425,0,0.0874811109271134,0.0445332027783827,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0880558998143369,0.331672347629368,0,0,0.00497352563411769,0.254805913865891,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0870089899263586,0.167648120973958,0,0.285496424203632,0.159964381422023,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0722813099361052,0.153390979350983,0,0,0.0445321074037109,0.218295929440675,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.191739408722371,0.0354688300669407,0,0.0535914745469337,0,0.0327075951863257,0.0622154494196904,0,0,0.0398795861685211,0.151831572444731,0,0,0,0,0,0
DASH,0,0,0,0.208504444922732,0.0140779005035368,0,0.0919459704359281,0,0.163654984356923,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0591852511149573,0.0339143031523814,0.0427771376352116,0,0.224846935794736,0,0.246728216724536,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0737758434059937,0.030630813603491,0,0,0.112680324452166,0.103627172936095,0,0,0,0,0.0581912978366113,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0236488658973277,0,0,0,0,0,-0.00823069072606332,0,0,0,0,0,0,0,0,-0.117164033010216
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000213173863199407,0,0,0,0,-0.00000414803112344405,0,0,0,0,0,0,0,0,0,-0.0653474354627849
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
