,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0168197242841433,0.0478317522421489,0.0918074171813549,0,0,0.0231648893829721,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.18739988631318,0.076119791189747,0.176564290642703,0,0,0.0478624726240768,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.024260691897119,0,0,0.0750461811782017,0.159664574457055,0,0.0211170202980512,-0.0000000000000000000271050543121376,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.444216133239723,0.18363583651275,0.0330827628199982,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.288646405844783,0,0.107389418900786,0,0,0.104739058141547,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.20761724810635,0,0.346799509026771,0.0348679350185193,0,0,0,0,0,0,0.0877027236648904,0,0,0,0,0,0,0,0
BNB,0,0,0,0.308757257316219,-0.081889048094279,0,0,0,0,0,0,0,0.335759078411228,0,0,0,0,0,0,0
XLM,0,0.106698713750523,0.329041913266998,0,0.0436561850473371,0.0483470922666792,0,0,0,0,0,0.0642997707031569,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0794706265370908,0.272439187231856,0.224019417193404,0,0,0,0,0,0,0,0.0485250678716321,0.0662028989294271,0,0,0,0,0
TRX,0,0,0,0,0.0486771536266158,0.0369459574033651,0,0,0.0284963340256703,0,0.0937362552376228,0.171338342820696,0.0646299541845328,0,0,0,0,0,0,0
BSV,0,0,0,0.129230240450385,0.111599909305413,0.126810127855724,0,0,0.0492262823614036,0,0,0.0426578988435436,0,0,0.0194169830118651,0,0,0,0,0
XMR,0,0.217046583541207,0,0.0652594724218068,0,0.165255771066715,0.0151123550358265,0.0553524434286549,0,0,0,0,0,0.0164965627079205,0,0,0,0,0,0
DASH,0,0.141000625452031,0,0,0,0.197678994895127,0.0144877885191668,0,0.0258730620207268,0,0,0.106363813097061,0,0,0.0419559918294677,0,0,0,0,0
MIOTA,0,0.0509399112061956,0,0.105080230383239,0,0.195479778838678,0,0,0.0656317545001336,0,0,0,0.00805094851837487,0,0.0235600718105428,0,0,0,0,0
NEO,0,0,0,0.204920949088143,0.0448026906683861,0.0692694978367536,0,0,0.209425377243113,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0202522884201113,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326766561833793
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0739743723104892
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
