,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.640167810246163,0,0.0123291615077228,0,0.0486540749172552,0,0.0135294317435715,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.00833239300915852,0,0,0.0507393308206435,0,0.193549653826488,0,0.0347833885972167,0.0616543352362345,0,0,0,0,0
LTC,0.514184966092038,0,0,0,0.0115384655349411,0,0.0148282832098582,0,0.00284688080484255,0,0,0,0,0,0
DOGE,0,0.0299984893782388,0,0.722667070024919,0,0,0.276922960698799,0.0250704859175459,0,0,0,0,0,0,0
DASH,0.210498866675141,-0.215337667801223,0,0,-0.0238240032608009,0,0,-0.181135328754409,0,0.116652757778766,0,0,0,0,0
XLM,0,0,0.126451227607511,0,0.176916497874716,0,0,0,0.0290378893646315,0.056330349739659,0,0,0,0,0
XMR,0.659100122172012,0.0682979250927757,-0.179121972113721,0,0.0276772268722832,-0.202637842947754,0.281289249482305,0,0,0,0,0,0,0,0
XEM,0.546865619339924,-0.102573829677435,0.357835574534878,0,0.0837251021571123,0.171789764312979,0,0,0,0,0,0,0,0,-0.249721163222194
DGB,0.64609698049394,-0.0767399732714008,0.224520008124073,0,0,0,0,0,-0.0314562821980894,0,0,0,0,0,0.142261576241442
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312223343205307
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.000000878280717966078,0,0,0,0,0,0.0469883376675374
DXY.INDEX,0,0,-0.0000000118745257101809,0,0,0,0,0,0,0,0,0,0,0,-0.00967053805094046
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000000555426542471472,0,0,0,0,-0.0998356395696729
VIX.INDEX,0,-0.00000482583728886139,0,0,0.0000267028617561691,0,0,0,0,0,0,0,0,-3.03882122998123,0
