,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.260300723255215,0.0502321731071041,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0.111905939697605,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.664792685461035,-0.0137884186399662,0,0,0.00358473383160836,0,0,0,0,0,0,0,0,0,-0.0239802236805939
XEM,0.474650951204408,0,0,0,0,0,0,0.0753109427663276,0,0.0259666844716116,0,0,0,0,0
DASH,0,0.0640669936577173,0,0,0,0,0,0,0,0.045602886566466,0,0,0,0,0.059904096655816
DOGE,0.25960789788937,0,0.054260248883209,0,0.0243588484656986,0,0,0.0371494805704493,0,0,0,0,0,0,0.0349258269895746
XMR,0.304994977546944,0.0185696334700712,0.156837623904358,0,-0.0128750239142275,0.216974578393926,0.204403810610383,0,0,0,0,0,0,0,-0.0390600894888877
XLM,0,0,0,0,0.128097331531434,0,0,0,0,0,0,0,0,0,0.0181066588319456
DGB,-0.328166046011308,0.02888934007223,-0.338161150592514,0,0.117142050054806,0.396530879177361,0.342581524769031,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0888505434374422
CVIX.INDEX,0,0,0,0,0.00000830325057641459,0,0,0,0,-0.000101129259773088,0,0,0,0,0.123569584524308
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0203201136956423,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064828715891476
VIX.INDEX,0,0,0,0,0.000000690745335931568,0,0,0,0,0,0,0.632892142338727,0,0,0
