,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.451175606293101,0,0.0369502013310668,0,0,0,0,0,0,0,0,0
ETH,0.262368794668465,0,0.178100375327485,-0.088955747441826,0,0,0,0.0354095047182007,0,0,0.181828219746926,0,-0.203240108554528,0,0,0.0664639125754871
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.556343258490379,0,0,0,0,0,0.00405899852797152,0,0,0,0,0,0,0,0,-0.00097541341146019
DASH,0,0.0767219249954419,0,-0.0126431708816776,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0.472192603858856,0,0,-0.0216395286109007,0,0,0,0,0,0.298978425635534,0.0290739162932154,0,0,0,0,0
DOGE,0.298572039075114,0,0.0779488291809234,-0.00803084179668977,0,0,0.0430012475047547,0,0,0,0.0313122401555713,0,0,0,0,0.0257024031350194
XMR,0.701332423136634,-0.107446526536205,0,-0.0179323845697402,0,0,-0.0668977804536856,0,0,-0.000999844039669878,0.0431020228598461,0,0,0,0,-0.0751327330275937
XLM,0,0,0,0,0,0,0.196148231533634,0,0,0,0,0,0,0,0,0
DGB,0,0.149872181559239,0,0.00100467568890301,0.143725221595545,0,0.0765837799056315,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0149762572935455,0,0,0,0,0,0,0,0,0,0,0,-0.0671754356529617
CVIX.INDEX,0,0,0,-0.000000909725305031465,0,0,0,0,0,0,-0.00000636205944309789,0,0,0,0,0.123565447587068
DXY.INDEX,0,0,0,-0.000985181621627303,0,0,-0.0000000200932142272849,0,-0.00000156598205444883,0,0,0,0.0418399545080903,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441479776160604
VIX.INDEX,0,0,0,0,0,0,0.000000406938866451504,0,0,0,0,0,0.389303592019513,0,0,0
