,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0233973686886539,0.0344748693796656,0.00433291652703347,0,0.108478419183547,0,0,0,0.00568362612466926,0.0216504127586463,0,0.143793693742772,0,0,0,0,0,0
ETH,0,0,0,0.0664919214332338,0.0450450859230845,0,0,0,0.0741367273329529,0,0,0,0,0.155555028239116,0,0,0,0,0,0
XRP,0,0,0,0,0.0256252046429122,0,0.0776664288375924,0.0927831391156951,0.0839228073826176,0,0,0,0,0.238480116293308,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0511107490079315,0.0320688696457805,0.163641876912683,0.00188592005902399,0,0.230998435294889,0,0,0.151561915202322,0,0,0,0,0
EOS,0,0,0.114563307881365,0,0,0,0.290082642746438,0,0,0.206589024307355,0,0,0,0,0,0,0,0,0,0
LTC,0,0.104673491051981,0.0308692002812045,0.14276699694887,0.00452095192916137,0,0,0.107607095205738,0.091350515998985,0,0,0,0,0.000551259340187751,0.0781189085483614,0,0,0,0,0
ADA,0,0,0,0,0.0762285793125663,0,0,0.340360797918552,0.022214403270343,0,0.0495465679797363,0,0,0.137133856398997,0,0,0,0,0,0
XLM,0,0,0,0,0.0512039795844872,0,0.301951144449387,0,0,0,0.000000000000000000867361737988404,0,0,0.278417232312164,0,0,0,0,0,0
MIOTA,0,0,0.063842103097733,0.136606520100038,0,0,0.175412236021804,0,0,0,0.00776083497211238,0.232198417963744,0.214847174525999,0.00944353996601579,0,0,0,0,0,0
TRX,0,0,0,0.0495267901887293,0.209372616954687,0,0,0.332975025693729,0.142744428608695,0,0,0,0,0.0362957541650475,0,0,0,0,0,0
NEO,0,0,0,0.00249470112465052,0.074297185968282,0,0.0575993479993069,0.147818497214003,0.0955559827248114,0.0195339233423694,0,0,0,0.168264304343144,0.176968590544345,0,0,0,0,0
DASH,0,0,0,0.224882587890406,0,0,0.00000000000000000173472347597681,-0.00000000000000000693889390390723,0.25678354294914,0.0305536638211447,0.00392506710425715,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.14176462496923,0,0,0.0628541484604178,0.192356091918045,0,0.112390323629725,0,0,0,0,0,0
XEM,0,0.0622312828395421,0.028356744849176,0,0,0,0.013174725584761,0.253359501331679,0.158253788549081,0.0239732284540907,0.0595978824106844,0,0,0,0.0982102484323534,0,0,0,0,0
ETC,0,0,0,0,0,0,0.0437550418636643,0.056434274713855,0.0600378370762059,0.0316475167600126,0.0474536165032021,0.0684696585172373,0,0.21077260574938,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0304253735368871,0,0,0,0,-0.0197645348489807,0,0,0,-0.00640624923733605,0,0,0,0,0,-0.0387153943831244
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0000000655190071495355,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857254325887
VIX.INDEX,0,0,0,0,-0.0000418028909509425,0,0,0,0.00000478041443127765,0,0.0000190536372286291,0.00000686947001323618,0,0,0,0,0,0,-2.99630879393924,0
