,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0350518689318157,0.103971187461856,0.490172925140859,0.064249140798764,0,0.0847497098499323,0,0,0,0,0,0
XRP,0.363786254511573,0,0.0355201772877851,0,0,0.244941018084906,0,0.0420543612479371,0,0,0,0,0
LTC,0.555463014598537,0,0,0,0,0,0.0239528245173838,0.00708658797458812,0,0,0,0,0
DOGE,0.409806579469951,0,0.118044512479536,0,0.0102646006619789,0,0,0.000688772417808673,0,0,0,0,0
DASH,0.635315030022911,0,0.0898864199405046,0,0,0,0,0,0,0,0,0,0
XLM,0.114080775571639,0.729135099694282,0,0.132743319946371,0,0,0,0.0192855003558621,0,0,0,0,-0.0389686541803474
XMR,0.570172392934981,0.116845735031841,0.0282239022812737,0.328911076981024,0,-0.0804907011682345,0,0.0150192686001966,0,0,0,0,0
DGB,0.593748980200807,0,0,0,0.0167682852437609,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284327218295594
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792643487510638
VIX.INDEX,0,0.0000000728890967830925,0,0,-0.000000000000000000000000827180612553028,-0.00000000822823739193613,-0.000000107579136747661,0,0,0.0000000345417904186701,0,-4.46588614404301,0
