,BTC,ETH,XRP,XEM,ETC,LTC,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0122126202066723,0,0,0.094196665340916,0,0,0,0,0,0.0479124188713464,0,0,0,0,0
ETH,0,0,-0.0526741381858681,0,0.0715822795530772,0,0,0,0,0.152882669440492,0,0,-0.00456350191900121,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.15055255955915,0,0,0,0,0,0.43469570208042,0,0,0,0,0,0,0,0,0
XEM,0,0,0.123641695940377,0,0,0.243298774436685,0,0,0,0,0.0944104429193127,0.180256127715637,0,0,0,0,0,0,0,0
ETC,0,0.258394931164399,-0.109595564135905,0,0,0,0,0,0,0,0,0,-0.00174902875799612,0,0.299070508034373,0,0,0,0,0.0555053036633153
LTC,0,-0.24001765900931,0,0.00669843959973233,0,0,0,0,0.445828452466105,0,0.0122816382334734,0.0431882179767239,-0.0658894919541502,0,0.215102423513354,0,0,0,0,0.0599241873957574
DASH,0,0,0,0,0,0,0,0,0.224415635376566,0.0736736529832337,-0.000000000000000000433680868994202,0,0,0,0.133758681831367,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.121338567607641,0.378706517615339,0,0,0,0.111781528627619,0,0,0.0347848192493637,-0.00000000000000000173472347597681,0,0,0,0,0
ZEC,0,0.254570994743361,0.0238873155345816,0.000000000000000000867361737988404,0,0,0,0,0.0217203902387871,0,0.008056212470649,0.0597698021129226,0,0,0.0514764939261814,0,0,0,0,0
XLM,0,0,0.453301934979583,0,0,0,0,0,0.145771561781716,0,0,0,0.0471805476082244,0,0,0,0,0,0,0
DOGE,0,0,0,0.152217618726554,0,0.249963084377966,0,0,0,0,0.0885805329050934,0,0.0796215987100035,0,0.0504929062728904,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.22784777267345,0,0.343377617195136,0.321875704337448,0,0.0614007850330962,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.136180482298191,0,0,0,0.195609339310514,0.125406700207746,0.0146000465027622,0.00948944730112266,0.00162245416261509,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00897934416391537,0,0,0,0,0,0,0,0,0,0,0.0287522900985397,0,0,0,0,-0.0474636101256126
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00253006368181195,0,0,0,0,0,0,0,0,0,0,-0.00275124509526753,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.000000308684965917829,0,0,0,0,0,0,-0.0170745398553593
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
