,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0702018422525164,0.0273282955038418,0.090704830834439,0.0801253646929142,0,0.15728179173106,0.0165624486980474,0.0187036928049382,0,0,0,0,0.00704811710646608
XRP,0,0,0.0416936857191778,-0.0409045401061549,-0.0329534707353128,0.156908955242082,0.109191723824009,0,0.0145660171708375,0.0268618941747736,0,-0.147275262598615,0,0,-0.00672232316842932
LTC,0.373775350831583,0,0,0.0309922703776134,0,0.331176975866303,0,0,0.0972266867123752,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.275539858762302,0,0.0169659404570441,0.0149813741007854,0,0.198272121313237,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.136829576265878,0.0139277275574134,0.381872847246532,0,0,0,0.022011677330338,0,0,0,0,0,0
XLM,0,0,-0.0201545073788955,-0.0303383090229515,-0.0249034567493546,0.241116491321043,0,0.0238506260887779,0.136081089404498,0.201644569320213,0,0,0,0,0
XMR,0.814195970954655,0,-0.00663611234871801,0.0234786086800512,0,0,0,0,0,0.0430622795667199,0,0,0,0,0
XEM,0.723198889605923,0.159426299909216,-0.0223039947280346,0.0289505473556128,0,-0.376460819851855,0.35789981850447,0,0,0,0,0,0,0,-0.0235835314163506
DGB,0.630481784344861,0,0,0.0109462090565899,0,0,0,0,0.123251141916072,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00683390358872111,0,0,0,0,0,0,0,0,0,0,-0.0556069388972197
CVIX.INDEX,0,0,0,0.0121114744577378,0,0,0,0,0,0,0,0,0,0,0.0792164384366206
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242181839248815
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712333930150179
VIX.INDEX,0,0,0,0.0000534261959872236,0.00000873131790969501,0.0000174204029305773,0.0000000000000000000008470329472543,0,0.00000000000000000000042351647362715,0,-0.724867806256835,0,0,-6.12465505592313,0
