,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,NEO,MIOTA,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0943754606375852,0,0.00562513678973042,0,-0.000000000000000000433680868994202,0.105157156175742,0.185025068295142,0.080058311595163,0,0,0,0,0,0,0
ETH,0,0,0.0546227818816518,0.0114235746165103,0.0451635748508145,0,0,-0.000000000000000000216840434497101,0,0.00193966933311591,0.233296618541437,0,0.0767812866938947,0,0.0440507432398088,0,0,0,0,0
XRP,0,0,0,0,0.0194372393278236,0.11136031516205,0,0.147875808377512,0,0.0171506744099857,0.14310750027503,0.0573523975674806,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0.233750595199995,0.0581390603112391,0.289086407740659,0,0.0428142212648042,0,0,0,0,0
EOS,0,0,0.217840615574765,0,0,0.141790179242609,0,0,0.16308559781325,0,0,0,0,0,0.0069085807068189,0,0,0,0,0
ADA,0,0,0.101623172626899,0,0.0564541716769358,0,0,0.305852594716904,0,0.076593080719678,0.121246023360829,0,0,0.0632505686316689,0,0,0,0,0,0
LTC,0,0,0.0649597017509176,0.0988594159324065,0.0231975172773001,0.02657131517356,0,0,0.0331242488351527,0.0187432009807638,0.126686934576341,0.0865843458369911,0.0706220586638522,0,0,0,0,0,0,0
XLM,0,0,0.137505490400967,0,0,0.306238107250153,0,0,0,0.196065903327644,0,0,0,0.0144372576018217,0,0,0,0,0,0
TRX,0,0,0,0.478858604641196,0,0,0,0,0,0.192724644554513,0,0.0971935887702293,0,0.0337587124060551,0,0,0,0,0,0
NEO,0,0,0,0,0.0426733742480258,0,0,0.238930129606134,0.00973713906161274,0,0.363205859766649,0.0821783431623637,0,0,0.0667624428542142,0,0,0,0,0
MIOTA,0,0,0.0114844396875405,0.16339039042578,0,0.247292244920372,0,0,0.00558331754176021,0,0,0.237062285753158,0.059177598960197,0,0,0,0,0,0,0
XMR,0,0,0,0.121142729505782,0,0,0.072214011227224,0.119311586148064,0,0,0.0771551960574045,0,0.220770291924632,0,0,0,0,0,0,0
DASH,0,0,0,0.172310693321865,0.0271405371261208,0,0,0.0234110815171788,0.0346650346812477,0,0.201705770320612,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.000000000000000000867361737988404,0.0975296769584807,0,0.210858256523226,0.0360715489717184,0.0246045490493991,0.273112438919649,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0481118903661421,0,0.121235727904759,0.0234688149054206,0,0.269420804342107,0.0331832903046736,0.0189216423711419,0.224352149202226,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0166212437340328,0,0,0,0,0,0,0,0,0,0,-0.0399512170766574
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857214338552
VIX.INDEX,0,0,0,0,-0.0000261031714930462,0,0,-0.0000181261578216795,0,0.0000153501440213116,0,0.0000386307732434347,0,0,-0.0000027668264203866,0,0,0,-3.7111094105907,0
