,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0.0100558714988595,0.0551579176264655,0.0487699905953363,0,0,0.0290491129106894,0.0147004658375758,0,0,0,0,0
ETH,0,0,0.0208343451961744,0.0983792041279141,0,0.191571722416654,0,0.0655813709629313,0,0,0,0,0,0.0351411534963433,0.0492967864208885,0,0,0,0,0
XRP,0,0,0,0,0.132897286575231,0,0.111394445429402,0,0,0,0,0,0,0.0447622760921093,0,0,0,0,0,0
BCH,0,0,0.0156868192482772,0,0,0.08371436329985,0.0465312550543932,0.10581467816092,0,0,0.0987933515825918,0.196536055199929,0,0,0.107262462270916,0,0,0,0,0
ADA,0,0,0.145758567923766,0,0,0,0.0674659038005475,0,0.446640705253253,0,0,0,0,0,0,0,0,0,0,0
LTC,0.082424133789089,0.0231988853130499,0,0,0,0,0.233859429676159,0,0,0.0572176314953416,0,0.13534634396923,0,0,0,0,0,0,0,0
XEM,0,0,0.11122083039772,0,0.0151511746690975,0.0402049670490106,0,0.0362896459177821,0.308894140757549,0.0338540490700832,0,0,0,0,0.10315085874489,0,0,0,0,0
NEO,0,0.203939813353314,0.0595075496542675,0.0697070182731693,0,0,0.0168390768905571,0,0.250011355882539,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.105616099241087,0,0.304881193097069,0,0,0,0,0.197936827321175,0.0322740840544593,0,0.105356950370238,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.068605993151803,0.166499010641907,0,0.273767695044865,0,0.0974632203592845,0,0,0.078284684291833,0,0,0,0,0,0
EOS,0,0,0.0590788606005864,0.0648083427176262,0,0.157098611640516,0.0345387324113743,0,0,0,0,0,0.313328127800713,0.0788992200327319,0.0748972545811556,0,0,0,0,0
DASH,0,0,0,0.0759059608325963,0.0310573922408422,0.11592588856636,0.0100536062506204,0.0199884437715688,0,0,0,0,0.12704091890354,0.0910034102537094,0.090966469739127,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.0576427535720249,0.142638171230921,0.0523664556976973,0.0317421226087118,0.237904145891471,0,0,0.0266336940465192,0,0,0,0,0
TRX,0,0,0,0.154248356999348,0.124332279884225,0.0534529307513388,-0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0.0253426513627808,0.487852551372604,0,0,0.00234072873729058,0,0,0,0,0,0.154274171269761,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0107118107661522,0,0,0,0.0105986418300166,0,0.00336066276676342,0,0,0.0061254422339742,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00283633744785262,-0.000727225704679278,0,0,0,0,0,0,0,0,0,0.00337156546889949,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
