,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.402439494004159,0,0,0.0485562687653474,0.00558592782921692,0,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.0882983020971543,0,0.083302178972982,0,0,0,0.270964140541183,0,0,0,0,0.013894186847054
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.545815264289345,0,0,0,0,0,0.00384878247581014,0,0,0,0,0,0,0,0,-0.00328190376039308
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.205346800873401,0.0753129892294682,0.206526331145224,0.0511550470161687,-0.000494900100702482,0,-0.0288192853563032,0.00934661828189531,-0.0642636380558166,0.0755126964349542,0.0314153887151728,0,0,0,0,-0.0410689879300177
XEM,0.463966698170475,0.0308400245731689,0,0,-0.0181282739293165,0,0,0,0,0.273512079870461,-0.00000000000000000693889390390723,0,0,0,0,0
XMR,0.510542339924511,0,0,0,-0.00219396316577928,0,0,0,0.0339840617738154,0,0.193470226947633,0,0,0,0,-0.0512915894445198
DOGE,0.307602542320527,0,0,0,-0.0089823399603514,0,0.0460729841978121,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0413272415932623,-0.00204683764149378,0,0.187772984047498,0,0.149532996880982,0,0,0,0,0,0,0.0110453299526062
DGB,0,0.16936547574227,0,0.202677662360552,0.00199297557283862,0,0.0712461105626286,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671754356529617
CVIX.INDEX,0,-0.00000101524163446339,0,0,-0.0181933169562607,0,0,0.0000045898805894469,0,0,0,0,0,0,0,0.231257164070856
DXY.INDEX,0,0,0,0,0.000000000000000000000000827180612553028,0,0.000000135802017162605,-0.000000243168808633701,0,0,0,0,0.0311445877835027,0,0,0
SPX.INDEX,0,0,0,0,-0.0000000288516990030189,0,0,0,0,0,0,0,0,0,0,-0.044139856222196
VIX.INDEX,0,0,0,0,0.00000146527851228027,0,0.00000122988121863484,0,0,0,0,0,0.406100542515659,0,0,0
