,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XTZ,XLM,ETC,XMR,TRX,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.116096223570517,0.0183297336878364,0.112247893772738,0,0,0.0422618981714693,0,0,0,0,0.0620572955083178,0.018083251025402,0,0,0,0,0
ETH,0,0,0,0.131813199568466,0.0235977937286001,0.0483239892860433,0.0507555713224897,0,0.0959872190158402,0,0,0,0,0,0.0362205522711008,0,0,0,0,0
XRP,0,0,0,0.0955331345115594,0.0321754172621126,0.0799239274258476,0,0,0.05962886867635,0,0,0,0,0.189903959521053,0.00178297711321352,0,0,0,0,0
BCH,0,0,0,0,0.238731739996237,0.142714742350791,0,0,0,0,0,0.101229182373234,0,0,0.0630580906263943,0,0,0,0,0
BSV,0,0,0,0.432702431502654,0,0,0.204373239017246,0,0,0,0,0.062836520411053,0,0,0.0906872166471598,0,0,0,0,0
LTC,0,0,0,0.253448069851601,0.0330571347249627,0,0.247577134413626,0,0.0366687792352678,0,0,0,0,0,0.0327782168287322,0,0,0,0,0
EOS,0,0,0,0.156864379639305,0.11411288231188,0,0,0,0.0541543489867709,0,0,0,0,0,0.0406233162533352,0,0,0,0,0
BNB,0,0,0,0.153037414168386,0.00219240896581092,0.042023732998273,0.0877906623292053,0,0.012994637973409,0,0,0,0,0.029970536173513,0.0661464393316401,0,0,0,0,0
ADA,0,0,0,0.0213158969035787,0.0432802584620305,0.0590821743839906,0,0,0,0,0,0.116916160051691,0,0.25818538407482,0.0120775350032349,0,0,0,0,0
XTZ,0,0,0.214686240013312,0,0,0,0.0379159865786639,0,0,0,0,0,0.112672214587474,0,0,0,0,0,0,0
XLM,0,0.218868116105196,0.268427719008484,0,-0.00810427900710639,0,0,0,0,0,0,0,0,0,0.129078617345603,0,0,0,0,-0.0244522125095349
ETC,0,0,0,0.217537534134287,0,0,0,0,0,0,0,0,0,0,0.398152293388619,0,0,0,0,0
XMR,0,0,0,0.08093616718087,-0.0184977560220329,0,0,0,0.167351776174467,0,0,0.0529381924828693,0,0,0.167966377498774,0,0,0,0,0
TRX,0,0,0,0.172748050873101,0.0152820391986539,0,0.014190737435646,0,0.148949451360973,0,0,0,0,0,0.0503390663013273,0,0,0,0,0
DASH,0,0,0,0.287076944428833,0.140320426045748,0,0,0.111641249013619,0,0,0,0.0499631916881311,0.324962717535686,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00782575578908126,0,0,0,0,0,0,0,0,0,-0.0125772411724556,0,0,0,0,-0.0830300576181049
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00268526236252261,0,0,0,0,0,0,0,0,0,-0.000996303925915109,0,0,0,0,-0.0619018975242931
VIX.INDEX,0,0,0,0,-0.00370617804306036,0,0,0,0,0,0,0,0,0,0.00224144943954547,-0.458715332788556,0,0,0,0
