,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0401094601107629,0,0,0,0.00517448163297412,0,-0.0186118653062963,0.00214324682627906,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0486787721285991,0,0,0.0580899362902094,-0.0179657249406845,-0.00464699538423001,0,0,0,0,0,0.0468717831459485
XRP,0,0,0,0,0,0,0,0,0,0.200652803489115,-0.0210243564516972,0,0,0,0,0,0,0
LTC,0.155258024003889,0,0,0,0.0163869672821618,0,0,0,0,-0.0327657167543078,0.00391616558253505,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,-0.141808213861342,0,0.00697775724438446,0.00423729687109712,-0.0219202309077924,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,-0.0300381613152407,-0.0336595454656414,0,0,0,0,0,0
XMR,0,0.295836977427749,0,0,0,0,0,0.0667957936049108,-0.821556198530555,0.0352562060287844,-0.076465178154204,-0.0557027614355485,0,0,0,0,0,-0.140878556450565
XEM,0,0,0,0,0,0,0,0,0,0,0.0329287345253712,-0.022427431389835,0,0,0,0,0,-0.0913462710309213
DOGE,0,0,0.0709606795028964,0.125499912465708,0,0,-0.0239321381747309,0.0352580149559322,0,0,0.0160956426266364,0,0.00350004937458322,0,0,0,0,-0.0105683733310706
XLM,0,0,0.53549083070766,0,0,0,0.0793006678599307,0,0,0,-0.000720337616263368,-0.0209012918331161,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0.115735167039949,0,0,0,0,0.160263089831348,0,0,0.00755485190692094,-0.0508939450691785,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0896901839297279,0,0,0,0,0,0,0,0.00753189365346411,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000000165436122510606,0,0,0,0,0,0.0664562024379686
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591501897769179
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
