,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0753760583291847,0,0.0262149431119761,0,0.00629374467786708,0,0,0,0.101838607049337,0,0.126104849896376,0,0,0,0,0,0
XRP,0,0,0.00434427006620082,0.0710948647794094,0.0597129034007994,0.115999150422561,0,-0.00151276701238746,0,0.090324550216924,0.0550787687055559,0,0.0560168238981318,0,0,0,0,0,0,0
ETH,0,0,0,0.178444254162117,0.0225147856624667,0,0,0,0,0,0,0,0,0.223238625968803,0,0,0,0,0,0
BCH,0,0,0,0,0.141010396544583,0,0,0.0315582880696268,0,0.408094292902325,0.151318301885929,0,0,0.0482496995548983,0,0,0,0,0,0
EOS,0,0,0,0.0296030373429454,0,0.185294349827996,0.106879624344101,0,0,0.191587365788788,0,0,0,0.123760087011723,0,0,0,0,0,0
XLM,0,0,0.14643641424737,0.101802648525295,0.181691063900837,0,0.0926770865911194,0,0,0.0826215078477209,0,0.0182403197221378,0,0.0319087928887197,0,0,0,0,0,0
LTC,0,0,0,0.0974959875948455,0.203435708527722,0,0,0,0,0.217228196462462,0.0383291580852596,0,0,0.0214010197287488,0,0,0,0,0,0
BSV,0,0,0,0.436144768881637,0,0,0,0,0,0,0.102952150729372,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.19368200887352,0,0,0,0,0,0.0941167072615656,0,0,0.0968284740559787,0,0,0,0,0,0,0
ADA,0,0,0,0.259548598939902,0.167106894607762,0,0,0,0.044034416646483,0,0.00445310548958913,0,0,0.0153551717834201,0,0,0,0,0,0
MIOTA,0,0,0,0.0902813800549972,0.00830142131205647,0,0.103048786819694,0.0181056421936761,0,0.0488198122238386,0,0,0,0.363004352864571,0,0,0,0,0,0
XMR,0,0,0,0.161560494120825,0,0,0,0,0,0,0,0,0,0.341043021301641,0,0,0,0,0,0
BNB,0,0,0.110761415604841,0,0.0604769038287788,0,0,0,0,0.0548033794366965,0.0685054300055658,0,0,0.0469227531581096,0,0,0,0,0,0
DASH,0,0,0.101760077700996,0.102978243353296,0.217035866341101,0,0,0.00261939423332657,0.0974836167351085,-0.000000000000000000867361737988404,0,0.189045827150104,0,0,0,0,0,0,0,0
XEM,0,0,0,0.114433166097285,0,0,0,0,0.078856294428463,0,0,0.0861870842230962,0,0.162291133087754,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511879326586482
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373980751733256
DXY.INDEX,0,0,0.00000324860262342912,0,0,0,0.00000193506922691553,0.00000268643775078134,0,0,-0.0000070638469102079,0,0,0.00000213223843616728,0,0.0790035099562926,0,0,0,-0.00196574949735291
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118726229318332
VIX.INDEX,0,0,0,0,0,0,0,0.000000546024249558757,0.00000107565223296853,0,0,0,0,0,0,0,0.0706143650206475,0,-1.79622873681934,0
