,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.107528494302718,-0.011793190847149,0.0344804975546721,0,0.000305279820016098,0.0545952526977229,0,0,0,0,0
ETH,0,0,-0.0159520259713084,0,0.0100254910659151,0,0.182831640641973,0,0,0.0239178290563664,0.0487837529035229,-0.0133186518490618,0.034617912774017,0,0,0,0,0
XRP,0,0,0,0,-0.156820043424124,0,0,0,0.4309493097534,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0.0939615055525591,0,0,0,0,0,0,0,0
ETC,0,0.127605350323631,-0.0549096483243823,0,0,0.0798008710509202,0.0000988378175636158,0,0,0,-0.00000000000000000173472347597681,-0.0448320276259245,0.292195942772065,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0925649373310806,0.157410366828704,0.0631133846171927,0.0959766280643435,0,-0.0713030267995068,0.112909637942989,0,0,0,0,0.0321261479679881
DASH,0,0.0380104834089244,-0.0659497356939858,0,0,0.0187276337425319,0,0.245850937112542,0.00792655573249236,0,0.085412049658177,0,0.0669091825235921,0,0,0,0,0
XMR,0,0,0,0.0797489005471754,0,0,0.11039777858468,0,0.0325472017507028,0,0,0,0.0494611826301796,0,0,0,0,0
XLM,0,0,0.421587530135501,0,0,0,0,0.081074494433762,0,0.0728185748521644,0,0.0344049213769958,0,0,0,0,0,0
DOGE,0,0,0.165401881407001,0.0515714243686005,0,0.143095473651399,0,0,0.0607958598253382,0,0.140760040651943,0,0.0862349919533702,0,0,0,0,0
ZEC,0,0.271588097543627,0,0.0474947168792589,0,0,0,0.0796634088811167,0.00948332528816077,0.0804434529571758,0,0,0,0,0,0,0,-0.0372182334851615
DGB,0,0,-0.27456058624471,0,-0.207381260520426,-0.0841620041862962,0,0.244119319263014,0.329821195281666,0.393389655691755,0,0,0,0,0,0,0,-0.31355442359201
NEO,0,0,0.0104433846378743,0,0.397670866559983,0,0,0.181060072746041,0.0144576817109915,0.0474332686605106,0.104084428425073,0.00897458305861052,0,0,0,0,0,-0.159559485313116
BV010082.INDEX,0,0,0,0,0,0,0,-0.00159761014150958,0,0,0,0.000157249903649103,0.0207221158510206,0,0,0,0,-0.0684759298281466
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,-0.000561686771082619,0,0,-0.00285794748722403,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000138490643227639,0,0,0.000000357824551921719,0,0,0,0,0,-0.027942030905681
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
