,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0401133397779727,0.0698167539454621,0,0,0,0.00932775536293702,0,0.0868313917062523,0,0,0,0,0,0,0,0,0
ETH,0,0,0.152054079268648,0,0.0302045525682357,0,0,0.0576500528340329,0,0,0.0883000648251365,0.139209582396569,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0.312354461113224,0,0.0526050240319951,0,0,0,0,0,0,0
BCH,0,0,0.107740895754244,0,0.113178827765148,0,0,0,0,0,0.0384570657699112,0.180695367282232,0.0448358739931512,0,0,0,0,0,0,0
EOS,0,0,0.0515462454626398,0,0,0,0,0.0179695737022024,0,0,0.0587556945398127,0.260575209612556,0.147253853976311,0,0,0,0,0,0,0
XLM,0,0,0.150070657316455,0,0,0,0,0.142716556468119,0,0.0647801854609374,0.0185086245281498,0,0.109704729750413,0,0,0,0,0,0,0
LTC,0,0,0,0.0320645082745268,0,0,0,0.150937040294814,0,0,0.134444837344618,0,0.0292049338909172,0,0,0,0,0,0,0
ADA,0,0.0370244024477749,0.112207164272301,0,0.196554045581619,0,0,0,0,0.0120253433151826,0,0.184555591154494,0.188343703291075,0,0,0,0,0,0,0
XMR,0,0,0.128428811866899,0.0404911857744708,0,0,0,0,0,0.107621751501471,0.097855867084264,0,0.125143650187884,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0237483445812985,0.125195626143133,0,0.0856106674936755,0,0.302745327156873,0,0,0,0,0,0,0
MIOTA,0,0,0.0222759181693754,0,0,0,0,0,0,0,0,0.284817423529163,0.569548260522845,0,0,0,0,0,0,0
TRX,0,0,0.0723940186505797,0,0.125309497689795,0,0,0.207631036603379,0,0,0.15785786151311,0,0.16465609982652,0,0,0,0,0,0,0
NEO,0,0,0.0540491022837456,0,0.0738561563109427,0,0,0,0,0,0.288453110315085,0.158750991667071,0,0,0,0,0,0,0,0
ETC,0,0.260533101648907,0.0325853270020155,0,0,0,0,0,0,0,0.142310376089832,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0433679472955148,0,0.113594605532191,0,0,0,0,0.018959135060155,0.0290600335920116,-0.00000000000000000346944695195361,0.18268330166996,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216558858269907
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00288537713048293,0,0,0,0,0,0,0.000265998965476482,0,0,0.000578823211766582,0,0,0,0.0602569648260555,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446761828961036
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
