,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,ETC,XMR,NEO,XEM,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.128502257792356,0,-0.0689663145857161,0.106193046070378,0.0182121568488366,0,0.0284127919510247,0,0,0,0,0.167315134823111,-0.00000000000000000010842021724855,0,0,0,0,0
ETH,0,0,0,0.0233350908171989,0.0622038279126473,0,-0.00887962003277156,0,0.0324384613129359,0.152059358142915,0.00424425075054007,0.0332276307179763,0.0703484327215596,0.06344073386575,0,0,0,0,0,0
BCH,0,0,0,0,0.197811625691721,0,0.0782219742878648,0,-0.051964385019362,0.0746243136744295,0,0.211950631823121,0,0.155115892468152,-0.0163667549969631,0,0,0,0,0
XRP,0,0,0,0,0,0,-0.0201437570365904,0.0789641142208368,0.0777354659314751,0.0609052477649827,0,0,0,0,0.0429120015474486,0,0,0,0,0
DASH,-0.072848420753219,0,0.0159846061706387,0,0,0,0.00848941330331511,0.0335709005303034,0,0,0.219625014142662,0,0,0.0253338320431895,0,0,0,0,0,0
LTC,0,0,0,0.118696225348756,0,0,0,0.0428004096261375,0.0591542961910028,0.114507097665976,0,0,0,0.0217456316899011,0,0,0,0,0,0
BTG,0,0,0.270362918016631,0,0,0,0,0,0,0,0,0,0,0,-0.00200241370869993,0,0,0,0,0
MIOTA,0,0,0,0,0,0,-0.0389124049822502,0,0.283861546425258,0.0366255490516235,0.0243502751846694,0,0,0,0.0652730313440222,0,0,0,0,0
ADA,0,0,-0.026986232390628,0,0,0.243394912290381,0,0.235967416686603,0,0.120886784527448,0.125367423014106,0,0.252153003929864,0,0,0,0,0,0,0
ETC,0,0,0.152183625708229,0,0,0,0,0.102870400074032,0.185495399150206,0,0,0,0,0,0.00535029365113339,0,0,0,0,0
XMR,0,0,0.0523263491809458,0,0.148869960972464,0,0,0.105992534627105,0.10805042217949,0.0383231855647132,0,0.0219603119017563,0,0,0.0209373099472702,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.00466871660366739,0.0508435398038255,0,0,0,0.0594266841374641,0.169315574191522,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.0251746414554335,0.104515956517585,0,0,0,0,0,0.0599618274170563,0,0,0,0,0
EOS,0,0,0.117497373824106,0,0,0.244292452398176,0,0.176115849596964,0,0,0,0.156672022814047,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,-0.012039669959208,0.285190583012458,0.185804152443277,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00621160433058492,-0.00368668908069988,-0.0113292595956316,0,0.0330694134511899,0.000949537504718281,0,-0.00947753755253424,0,0,0.0365595038464666,-0.0358055351776664,0.0168401698418777,0.0219121566917138,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000541821394221222,0,0,0,0,0,-0.0223114843349207
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
