,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,TRX,XMR,ADA,XTZ,LINK,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.156628739221792,0.00585757239457947,0,0.119298542686166,0.042431279382263,0,0.0488513604406902,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0801109351075865,0.0268442277583023,0,0.227475944448951,0.0190144056080171,0,0,0,0.0565623459039048,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0430974494702427,0.0338632148586505,0,0.149196529142847,0.0162247027598334,0,0.0917762047401835,0,0.0870702435625528,0,0.0337122433658055,0,0,0,0,0,0
BCH,0,0,0,0,0.285888555446318,0.0274873051511062,0.0465651934606602,0,0,0.032619691931205,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.524970034831289,0,0,0.243172547627483,0,0,0,0,0,0,0,0.0367846542929651,0,0,0,0,0
LTC,0,0,0,0.270865441305457,0.025750514572443,0,0.317080436027458,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.098890647339355,0.107774884743365,0.12749645230967,0,0.0990171259440826,0,0.128416937307065,0,0,0,0,0.000000000000000000867361737988404,0,0,0,0,0
BNB,0,0,0,0.154945856364141,0,0,0.156754101571453,0,0.0245481676117147,0.0703272724725385,0,0.038565452854629,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.274703424370941,0.094471339036467,0.0417836108711376,0,0.0759669132433108,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.00745949739150587,0.0327376467033968,0,0.217992748040604,0.199949988662932,0,0,0,0.200637272661732,0,0,0.00398973156594389,0,0,0,0,0
XMR,0,0,0,0.126529780677809,-0.0064167720299104,0,0,0.351703531022512,0,0,0,0,0,0,0.0901065919038402,0,0,0,0,-0.0429760118037495
ADA,0,0,0,0,0.0361986272672002,0,0.0654206680858981,0.186413213794459,0.0687406317127155,0.239196089105001,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.265269960553895,0,0.0107659953625901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0.256104737359166,0,0,0,0.100692583730584,0.0864177125935649,0,0.131317759213748,0,0,0,0.026934026536706,0,0.0802403803795184,0,0,0,0,0
ETC,0,0,0,0,0.00000000000000000346944695195361,0,0.26833426045659,0,0,0.151690594240404,0,0,0,0.035581005822845,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0142054310730742,0,0,0,0,0,0,0,0,0,-0.022235858214428,0,0,0,0,-0.0507522177825898
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376495471695158
SPX.INDEX,0,0,0,0,0.00520100902450155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247034977571458
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
