,BTC,ETH,XRP,BCH,STO,LTC,BSV,EOS,BNB,XTZ,LEO,XLM,TAGZ5,HT,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.144016286924921,0,0.10597717992005,0,0.0481742084303062,0.00104944622761312,0,0,0,0,0,0.0418763771026847,0,0,0,0,0
ETH,0,0,0,0.234594955147823,-0.0142439636839306,0,0,0,0,0,0,0,0,0,0.186488740173156,0,0,0,0,0
XRP,0,0.319005371472833,0,0,0,0.0942447001375452,0.0230329041579929,0.00970100795593853,0,0,0,0,0,0,0.159039078130937,0,0,0,0,0
BCH,0,0,0,0,0.0000000000000000000271050543121376,0.0313466563332396,0.244327482279522,0.0628631358347864,0,0,0,0,0,0,0.284069045203374,0,0,0,0,0
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0363376709845893,0,0.321664908722061,-0.012601396793378,0,0.0174776867682038,0.194292052249281,0,0.00217936002345652,0,0,0,0,0.133916970939871,0,0,0,0,0
BSV,0,0,0,0.537107245708684,-0.0103901526687767,0,0,0.297033770750386,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.128225994853907,0.00600445402340144,0.224249045325005,0.135216245757427,0,0,0,0,0,0,0,0.125406720711974,0,0,0,0,0
BNB,0,0.0257715199821844,0,0.15322712074711,0,0.0874118348003716,0.000000000000000000867361737988404,0.023210098386595,0,0.080086545263843,0,0,0,0,0.193415715391509,0,0,0,0,0
XTZ,0,0.446820069968557,0,0,-0.00625203212222348,0,0,0,0.170415855308167,0,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,-0.0156250188407474,-0.27376187865734,0.0126954757711956,0.0719516131633652,0.163028773586729,0,0,0,-0.0359922664621981,0,0,0.0353697509143224,0.0144719411491128,0,0,0.00316299671155279
XLM,0,0.340814301961081,0,0.100314819029906,-0.00727312123481041,0,0,0,0,0.138292499366009,0,0,0,0,0.0119345872175857,0,0,0,0,0
TAGZ5,0,0.446178927251277,0,0.0315766948388919,0.0332772046933805,0,0.0381325630154726,0,0,0,0,0,0,0,0,0,0,0,0,0.0239817387456515
HT,0,0,0,0.0895544765306136,-0.00015589988788464,0,0.00911526960897839,0,0.17385630170893,0.0249847384590102,0,0,0,0,0.10355313468043,0,0,0,0,0
TRX,0,0.195674682638146,0,0.200858597168786,0,0.149598820775017,0.0207301344532723,0,0,0.0297674068340608,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.00840995950566096,0,0,0,0,0,0.0142975679616485,0,0,0,0,0,0,-0.144614180054972
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134805056230604
DXY.INDEX,0,0,0,0,0.00426690623988851,0,-0.00051462138588918,0,0,0,0,0,0,0,0,0.00453989839409822,0,0,0,-0.0133097960246584
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891962057548383
VIX.INDEX,0,0,0,0,0,0,-0.0000470072961106781,0,0,0,0,0,0,0,0,-0.0178484982593547,0.0480237099651181,0,-2.53231665349942,0
