,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,-0.0102794243459675,0.0567561546685349,0,0,0,0,0
ETH,0,0,-0.0298497811221488,0,0,0.0644338589912616,0.0493456834300911,0,0,0,0.0633381982016086,0,0.00737709767075321,0,0,0,0,0
XRP,0,0,0,0,0,-0.164635146816152,0,0,0.426277826904216,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0552627336316255,0.107856205068805,0,-0.0850188155485809,0.0427583700017581,0,0,0,0,0
ETC,0,0.225649010380786,-0.00910087066813344,0,0.027794398510555,0,0.0196043668980029,0,0,0,0,-0.0120658150634864,0.220619126538939,0,0,0,0,0
DASH,0,0.00754649373447535,-0.0798234934240599,0,0.013780832496958,0,0,0.224456880978398,0.00768842016939526,0,0.132084307175184,-0.00606551538799356,0.0772328318312869,0,0,0,0,0
XMR,0,0,0,0.0742365497499065,0,0,0.0844504176334896,0,0.03037766928978,0,0,0,0.0301753056269006,0,0,0,0,0
XLM,0,0,0.366422909275627,0,0.0632391626559013,0,0,0,0,0.204327934371271,0,0.0407777611520176,0,0,0,0,0,0
DOGE,0,0,0.101834614541779,0,0.0953918095684037,0,0,0,0.108017819572706,0,0.236723983705246,0,0.0474230556769739,0,0,0,0,0
ZEC,0,0,0,0.050198479505761,0,0,0,0,0,0.0905839316072282,0,0,0,0,0,0,0,0
DGB,0,0,-0.266706252246488,0,-0.142142265540803,-0.173712436350315,0,0.269062578445921,0.368843369056204,0.324700272358835,0,0,0,0,0,0,0,-0.274146855548165
NEO,0,0,-0.0116785327651978,0,0,0,0,0,0,0.046414410172564,0.14615926704047,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.000000000000000000216840434497101,0,0,0,0,0,-0.000865028946842807,0,0,0,0,0,0,0,-0.0847516980097427
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,-0.000537745045731477,0,0,-0.00295146391556419,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000185808811124227,0,0,0.000000633783918917571,0,0,0,0,0,-0.0255027021126081
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
