,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.136060030727874,0,0,0,0,0.176577704866584,0.0104633260976384,0,0,0,0,0,0.00000000000000000010842021724855
XRP,0,0,0,0,0,0.199400492729339,0,0,0.0155628285659726,0.055757099584792,0,0,0,0,0
LTC,0.507097199347578,0,0,-0.00946112647340857,0,0.145950819208109,0,0.0852156177299221,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.110871207151833,0.235896732864155,0,0,0,0,0,0,0
DASH,0.216883001454107,0.025057896082268,0.0604718322896389,0,0,0.0863296047003508,0.0897014706276962,0,0.00140505395324993,0.00900643385360202,0,0,0,0,0
DOGE,0,0.119502697297899,0.264749081138403,0.00926181313643255,0,0,0.120552457549486,0.132430353025234,0.0114965644960726,0,0,0,0,0,0
XLM,0,0.0758931630834084,0.373089017742753,0,0,0,0,0,-0.0817624299112886,0.0445549081456728,0,0,0,0,0
XMR,0.983567267748154,0,0.0596327710268324,0,0,0,0.0242655461704596,0,-0.0105238000804433,0,0,0,0,0,0
DGB,0.826688037912264,0,0.355266648610837,0.0581262679854069,0,0,0,0,0,0,0,-0.00428602175252481,0,0,-0.0536586764004576
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255088492223625
CVIX.INDEX,0,0,0,-0.0000015181268319357,0,0,0,0,0,0,0,0,0,0,0.0969493663640533
DXY.INDEX,0,0,0,0,0,0,0,0,0,0.00233639089120525,0,0,0,0,-0.0188423834693222
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0823681528211048
VIX.INDEX,0,-0.00000431502057522206,0,0,0,0,-0.0000047533501897644,0,0,0,0,0,0,-3.1504266930619,0
