,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.508438222661995,0.0313872216782278,0,0,0,0,0,0,0,0,0,0.0059287360684527
ETH,0,0,0,0,0.0437188481866787,0,0,0,0,0.140381610871282,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.613703363858261,0,0,0,0.00180259304832776,0,0,0,0,0,0,0,0,0,-0.000000000000000000433680868994202
XEM,0.391772989398211,0,0,0,0,0.0381583514220013,0,0,0.596532464368893,0.0330989289268564,0,0,0,0,0
DASH,0,0.0764642686982228,0,0.132108693963428,0,0,0,0,0,0.019483909959181,0,0,0,0,0
DOGE,0.295857535795325,0,0.0786111669312535,0.0550796406548865,0.0181581606077201,0,0,0,0,0.0242179222175117,0,0,0,0,0.0389529598996232
XMR,0.620359796181734,-0.0387680640128347,0,0,-0.0309136398524347,0,0,0,-0.0471777833809067,0.0349904433305522,0,0,0,0,-0.0681913849046291
XLM,0,0,0,0.0495688247967868,0.189929052360557,0,0.141038815236453,0.0574790622904694,0,0,0,0,0,0,0.0185116061958171
DGB,0,0.105614667348543,0,0,0.109816289851928,0,0,0,0,0,0,0,0,0,-0.0231149354991508
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624650585360372
CVIX.INDEX,0,-0.0103828571730762,0,0,0.0011169613634946,0,0,0,0,-0.0106908132538162,0,0,0,0,0.265762025374577
DXY.INDEX,0,-0.00000021111109733822,0,0,0.00000021473522865043,0,0.0000000000000000000000529395592033938,0,0,0,0,0.0357014211579674,0,0,0
SPX.INDEX,0,0,0,0,-0.00000267600776448507,0,0,0,0,0,0,0,0,0,-0.0648349069131229
VIX.INDEX,0,0,0,0,0.0117333924988166,0,0,0,0.0134843263213139,0.00445679660639664,0,0.561296697159752,0,0,0
