,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0382565390736001,0,0,0.00478713550211438,0,0.184100449825331,0.0386806154610911,0,0.0108688960658116,0.135537766303699,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.171399395821306,0,0.0837600800212316,0.0283422901003333,0,0.11280875338519,0,0,0.00429757019247573,0.0153241515815549,0,0,0,0,0,0
XRP,0,0.0324288644846305,0,0,0,0,0.089886003663365,0.0210319198484477,0.297739345507157,0.0435669323074005,0,0,0.0425894444889955,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.177405339157693,0,0.0273410719915253,0.277616244792158,0,0.0319013911280232,0,0,0,0,0,0,0
LTC,0,0,0.0591603692431446,0,0,0.0470289307784199,0.0529252253765813,0.0746864598061587,0.0204180166597452,0.0125453399220086,0.669176346275429,0,0,0,0.018911512460844,0,0,0,0,0
DASH,0,0,0,0,0.0283788922726201,0,0.168623777634693,0.0202949077312611,0,0.0664948570806487,0,0,0,0.148217694696217,0,0,0,0,0,0
XEM,0.13415475127062,0.272648984682597,0,0,0.0769510465487729,0,0,0.00640771853185143,0,0.107848342217335,0,0,0.043064624334548,0,0,0,0,0,0,0
NEO,0,0.330891295410717,0,0.426679247896848,0,0,-0.00000000000000000173472347597681,0,-0.0616135791104129,0,0,0,0.0695324788928174,0,0.0466915823230209,0,0,0,0,0
XMR,0,0,0.104857863704292,0,0,0,0.157076605859272,0.0182967950460148,0,0,0,0,0.0135565405917846,0.251871223779302,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.111424349909714,0.242154431145348,0,0.000515124573260615,0,0,0,0.0462244436736385,0.174804586842834,0.18116541326346,0,0,0,0,0
ETC,0,0,0,0.0160816746472625,0.340937063952614,0,0,0,0,0.0686006300451276,0,0,0.0114710369435449,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.409180221765591,0,0,0,0,0.0333439045983772,0.11643464418176,0.138835417368983,0.300654641879124,0,0,0.0986283078359652,0,0,0,0,0,0
ZEC,0,0,0,0.0519622751385805,0,0,0.208908763769395,0,0.0784919098378079,0.0420510452488297,0,0,0,0,0.199267850352925,0,0,0,0,0
EOS,0,0,0,0,0.146626045762824,0,0,0.127892479848458,0,0.0206510500419517,0,0,0,0.115347460346252,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0237072537618101,0,0,0,0,0.00448581639650106,0,-0.0111107921403889,-0.000880815338309302,0,0,0,0.0167034253763549,0,0,0,0,-0.0647457536992818
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000747540167051734,0,-0.000555840594922545,0,0,0,0,0,0,0,0,0,0,-0.0247691415179543
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
