,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,NEO,DOGE,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00812257516695165,0,0,0,0,0.0983201419897643,0,0,0.00480243697889604,0,0,0,0,0,0,0,0
ETH,0,0,-0.062646333891476,0,0.0786924463314395,0,0,0,0,0.162148817707659,0,0,0,0,0,0,0,0,0,0.0235216394041222
XRP,0,0,0,0,-0.152829434558036,0,0,0,0,0,0.433228382803773,0,0,0.0104728376340937,0,0,0,0,0,0
LTC,0,0,0,0,0.0646945168836857,0.107951201127278,0,0,0.284902876350443,0,0.0224786606671106,0.141298592848473,0,-0.0225598736593201,0,0,0,0,0,0
ETC,0,0.47895876551773,0,0,0,0,0,0,0,0,0,0.0624450174486721,0,0,0,0,0,0,0,0
XEM,0,0,0.139269221581788,0.168383561270961,0,0,0,0,0.041638796660265,0,0.0468517585733415,0,0.201303024991132,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0498409747331907,0,0,0,0.171546541345243,0,0.00421496469846328,0.0453965021453558,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.077945439357905,0,0.0619172932924879,0.28542742863244,0,0,0,0.11635534762082,0,0,0,0,0,0,0,0,0
ZEC,0,0.27360232822228,0.0568710816287623,0,0,0,0,0,0,0,-0.000000000000000000433680868994202,0.00854534497663888,0.0717746670663895,0,0,0,0,0,0,0
XLM,0,0,0.474144488440774,0,0,0,0,0,0.152785468516356,0,0,0,0,0.0496612579103858,0,0,0,0,0,0
NEO,0,0,0,0.238122566583182,0.467870594774422,0,0.0542720118228071,0,0,0.0854071699449134,0,0,0,0.00917969881234301,0,0,0,0,0,0
DOGE,0,0,0,0.237723013266478,0.0585024290384469,0.211074718095532,0,0,0,0,0.0601999092821697,0.000000000000000000216840434497101,0,0.0872901968404819,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0.359095857105835,0,0.263730374591801,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0095365892234975,0,0,0,-0.00646114709006359,0.002708427496138,0.00700577716117839,0.00719649164251003,0,0.00546071325671684,-0.00176480551618533,0,0,0,0,-0.0810941282586348
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00314057755158369,0,0,0,0,0,0,0,0,-0.000142557955053264,0.000129482866295145,0,-0.00279132494431665,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169704671980094,0,0,0,0,0,-0.0148355231418585
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
