,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XEM,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.127478413448719,0.102768863736953,0,0,0,0.0392204435539659,0,0,0.0240570991789288,0.076160097993937,0.0494005398112235,0.0638503668569858,0,0,0,0,0
ETH,0,0,0,0,0.120994502659566,0,0.0590121544358133,0,0.0462314055978441,0,0,0.157900267322186,0,0.0303985324900226,0.178269354881093,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.204724674719469,0,0,0,0.181510615664507,0,0.125622529945683,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.163694650437684,0,0.330776252532119,0,0.0378998115835955,0,0,0,0,0,0,0
LTC,0.205212910643741,0,0,0.150858235380827,0,0,0,0,0.00140060955363882,0,0,0.0926180823892588,0,0.0191389952536944,0.135151757081638,0,0,0,0,0
ADA,0,0,0.00695612556658759,0,0,0,0,0.426700636041851,0.136354042432196,0,0,0.0912732514612527,0,0.0242880381944555,0,0,0,0,0,0
NEO,0,0,0,0,0,0.128774582491628,0,0.115165139757248,0,0,0,0.0971782755951136,0.249598555939486,0,0,0,0,0,0,0
XLM,0,0,0.0617160586572127,0,0,0.488424143904011,0,0,0,0,0,0.110576383235843,0,0,0.0700362743430075,0,0,0,0,0
EOS,0,0,0,0,0,0.0501799871111937,0,0,0,0,0,0.124716980343746,0.363106957092518,0.0452124846102628,0.280021236008199,0,0,0,0,0
MIOTA,0,0,0,0,0.183300257862752,0,0,0,0.108381586712584,0,0,0.0927418868697718,0,0.0304834339125662,0.175188726686365,0,0,0,0,0
DASH,0,0,0.0101841255423355,0.101011671161062,0.0111920437340964,0,0,0,0,0,0,0,0.389026083815967,0.0910348001790267,0.0744037936716757,0,0,0,0,0
XEM,0,0,0.211916999129496,0.0517822779072637,0.0422854671839706,0.151327389323973,0.0499078446556974,0.070542505117571,0.132470094125426,0.0764452233083088,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.169516271750343,0,0.0607250178479701,0,0.325267732214276,0.0086206328440933,0,0,0.163736310297339,0,0,0,0,0
TRX,0,0,0.338700652596169,0.187952216277716,0,0,0,0.122777426323705,0,0,0,0.1728761284441,0,0,0.131832030042151,0,0,0,0,0
ETC,0,0,0.0367867016112101,0.142560950030863,0,0,0.0474932539427851,0,0.241984712584547,0,0,0,0,0.0456833730111425,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0153774882366046,0,0,-0.00819375086804985,0,0,0,0,0,0,0,0,0,0,0,0,-0.0455149622297478
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000000560474632244728,0,0,0,0,0,0,0,0,0,0,-0.0540671589476894
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
