,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.148965103196868,0.0867657495565041,0,0,0,0.0242346046380393,0,0,0.0856890136782899,0.0618513287004836,0.0382019567519383,0.0551485584351697,0,0,0,0,0
ETH,0,0,0,0,0.154039510697508,0,0.115179968668899,0,0.0695044015374383,0,0,0,0.0531072676513409,0.136278003828405,0.0394177405588413,0,0,0,0,0
XRP,0,0,0,0,0,0.0519867417120177,0,0.292751816058701,0,0,0,0,0,0.141307456276062,0.147657913034167,0,0,0,0,0
BCH,0,0,0,0,0.324310693239111,0,0,0,0.116494333713032,0,0,0.0253054974930552,0.118981396987857,0,0,0,0,0,0,0
LTC,0.110905712588525,0,0,0.266265170539305,0,0,0,0,0.0493683184085088,0,0,0.0118884282986047,0.132470942894411,0,0.00411078520560116,0,0,0,0,0
ADA,0,0,0.143662142132469,0,0,0,0,0.282737745893672,0.0320177785893478,0,0,0,0,0.100462656803568,0.0422052605131233,0,0,0,0,0
NEO,0,0.0932287478019389,0,0,0,0.104946288439287,0,0.140548266990014,0,0,0,0.161378628776718,0,0.0917892886113078,0,0,0,0,0,0
XLM,0,0,0.202253770235581,0,0,0.226008383256003,0,0,0.00908932140833575,0,0,0,0,0.235736270266574,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0297556952092737,0,0,0,0.170124338654925,0.262127218440345,0.014154409951417,0.107516814239892,0,0,0,0,0
MIOTA,0,0,0,0.0568493660280563,0.0810359719366536,0,0,0,-0.00000000000000000693889390390723,0,0,0.126614520057648,0.359113813429836,0.074516234679768,0.0245641686092359,0,0,0,0,0
DASH,0,0,0.0260687128934147,0.0468553547611237,0,0,0,0,0,0,0,0.201677947451797,0.00307346075743392,0,0.0874462466578596,0,0,0,0,0
XMR,0,0,0,0,0,0,0.115742644495341,0.0211347070755043,0.137384756191269,0,0.0994766823297617,0,0.107486022108905,0.0956854512805832,0,0,0,0,0,0
ETC,0,0,0,0.222906637902755,0,0,0.148223754148405,0,0.212424812671681,0,0,0,0,0,0.0661552418964526,0,0,0,0,0
XEM,0,0,0.0903897849384852,0,0,0.12675062795054,0.0045084834910838,0.296725200144727,0,0,0,0.0395433488942066,0,0,0,0,0,0,0,0
TRX,0,0,0.364426969433498,0,0,0,0,0.106781517364476,0,0.265318161469904,0.0993397369965192,0,0.0472442716618998,0.137977952635287,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00172000427696153,0,0,0,0,0.00691464257525342,0,0,0,0,0,0,0,0,0,0,-0.0397361642401215
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.00000000940044433911098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651267592616
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
