,BTC,ETH,XRP,EOS,LTC,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0620442074180421,0,0.0885833643397333,0,0.10886554324668,0,0,0.036645128451089,0,0.0155457822276436,0.0515925199754619,0,0,0,0,0,0,0,0
ETH,0,0,0,0.300791372196936,0.0282559391329925,0.158713271541989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.102777795855726,0,0.0227801058693589,0.0244610184138053,0.0386927973563243,0,0,0,0,0.172757430953822,0.067120870272873,0.0328616472236327,0,0,0,0,0,0,0
EOS,0,0.31491531436041,0,0,0.164805554770605,0.0835605346729117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.149159636694111,0,0.430066903793616,0,0.0762940366467133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.161538356905547,0.183514965870176,0,0.0726495076621642,0,0,0.361096203640026,0,0,0,0,0,0,0,0,0,0
TRX,0,0.0169444402708634,0,0,0,0.105459775635461,0,0,0,0,0.444519641474622,0,0,0,0,0,0,0,0,0
XLM,0,0.19227603615217,0,0.123751618461035,0,0.164194274826875,0,0,0,0,0.00528631749513424,0.0251914328691843,0,0,0,0,0,0,0,0
BNB,0,0.0613343755054743,0,0.17335579895036,0.173021108108497,0,0.147613648785834,0,0,0,0,0.174300566064458,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0.542083073669173,0,0,0,0,0,0,0,0.0430435560312624,0,0,0,0,0,0
ADA,0,0.382364477549511,0,0.164085147099562,0.0929492586041382,0.0817210668203323,0,0,0.0421057317479786,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.257892607399902,0.0258305498646094,0.19683775896518,0,0,0.0171101309690218,0,0,0,0,0.232344945189611,0,0,0,0,0,0
MIOTA,0,0.062433918738096,0,0.49950837214051,0.0124481211832562,0.0199187073919827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.325002288640328,0,0.142453785741352,0,0,0,0,0,0.0523977032514026,0,0,0,0,0,0,0,0
MKR,0,0.33857535440948,0,0.21158198675267,0.0317979300674464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250142618951427
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000150773242827994,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111578299446921
VIX.INDEX,0,0,0,0,0,0.0000243873445128901,0,0,0,0,0,0,0,0,0,0,0,0,-2.4060048802791,0
