,BTC,ETH,XRP,BCH,EOS,LTC,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0658778001142496,0,0.050571603680973,0,0,0,0.0243206163188362,0,0.12863077114322,0,0,0.0136129362631909,0,0,0,0,0
ETH,0,0,0,0,0.00964914086194016,0.0870118508774637,0,0,0.28084350828627,0.0732217700040214,0,0,0,0,0.057401203949527,0,0,0,0,0
XRP,0,0,0,0,0,0.0217862371714138,0,0,0,0.133198511276014,0.0657061391669291,0.090867623465741,0,0.0376878459242086,0.0334664626526812,0,0,0,0,0
BCH,0.0151470022776825,0,0,0,0.0144097297242216,0.394597354996108,0,0.0275899752982631,0,0,0,0,0,0,0.0306133352980474,0,0,0,0,0
EOS,0,0,0,0.0809042746645831,0,0.274781609215122,0,0,0,0,0.241547772940236,0,0,0,0.0322204557081432,0,0,0,0,0
LTC,0,0,0,0.446127706105249,0.139703481648879,0,0,0,0,0.0106929339997733,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.236944153917849,0,0.0368157452686173,0,0,0,0.149556651439264,0,0,0,0,0,0,0,-0.072048911015614
BSV,0,0,0,0.123970086247742,0,0.222728039870811,0.0497474515612438,0,0,0,0.179061559634155,0,0,0.194460460474636,0,0,0,0,0,0
XLM,0,0,0,0,0.00507298190027283,0,0,0,0,0.210115768599882,0.0489704551980109,0.194596324422518,0.0216678309310659,0,0.0194036820319384,0,0,0,0,0
ADA,0,0,0.253401451526532,0.310004884296461,0,0.0363011807438023,0,0,0,0,0,0.056183259042249,0,0,0.015108085390412,0,0,0,0,0
TRX,0,0,0.36069172478216,0,0.117718379519222,0,0,0.0223538471956662,0,0.00268398854193069,0,0.123417928324444,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0999833791673825,0,0.0276625246603552,0,0,0.32153260359587,0,0,0.0727653528232328,0.0786999863396036,0,0,0,0,0
DASH,0,0,0,-0.00000000000000000173472347597681,0,0.015569744669981,0,0,0.220054814437976,0.0672045820927568,0.0699097978150523,0.0699688531948803,0,0,0.0148518616541665,0,0,0,0,0
MIOTA,0,0,0.405468228740861,0,0,0,0,0.139990522907924,0.0699249957291718,0.00116074956637652,0,0.0454497502285172,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0,0.533093422183161,0,0.197295852384459,0.101152999551894,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053528585584877
CVIX.INDEX,0,0,0,0,0,0,0,-0.0332864582316621,0,0,0,0,0,0,0,0,0,0,0,0.0440437121940591
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000000295818279703308,0,0,0,0,0,0,0,0,0,0,0,-0.0618176763057971
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
