,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0417749115411296,0.0239708579142069,0,0,0.00736682170780987,0,0.0144639130963294,0.116148769882677,0,0,0,0.0666461109964921,0,0,0,0,0
ETH,0,0,0,0.207443921123329,0.00000000000000000346944695195361,0,0,0,0.0817163655817278,0.209633078678413,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.137936111971845,0,0,0,0.170486264873455,0.0405037864289566,0,0.00000000000000000173472347597681,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.261191456733648,0,0,0.120451590792581,0.0163170774109941,0.156034845544089,0.0115722307768085,0.00780811925437156,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0544706244569887,0.151669468473817,0.248796074479104,0.145610767620735,0.0371449830698236,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.383911291023081,0,0,0.0635704004845425,0,0,0,0.14163958748223,0,0,0,0,0
LTC,0,0,0,0.353761490593265,0.0309439446369034,0,0,0,0.11589012251031,0,0.0290562376222395,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0929947262555591,0.130910769353398,0.162271981477875,0,0,0,0.167008260917167,0,0.0569906813122634,0,0,0.0395979420448009,0,0,0,0,0
MIOTA,0,0,0,0.0360790267584301,0.112090972658498,0,0,0,0,0,0,0.548737081448442,0,0.0678588331600282,0,0,0,0,0,0
TRX,0,0,0,0.260122734680123,0.136086758880429,0.0625305077260252,0,0.124985348211744,0.072262029911573,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.587849942585867,-0.00000000000000000173472347597681,0,0,0,0,0,0,0.0749966735527363,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.108120371510266,0,0,0.112730163837685,0.266594439461145,0.0826597437425232,0.153114772965933,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.209344821386536,0,0.0443560036579512,0,0,0,0,0,0.239823197977531,0,0.0355007436963971,0,0,0,0,0,0
ETC,0,0,0,0.233933731056986,0,0,0,0,0.0806190871881565,0,0.0867912135349994,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0691763682687891,0.143796753371482,0.10655015893841,0,0.164775293608542,0.0382339216778559,0,0,0.0134655039270304,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0169688071238867,0,0,0,0,0,0,0,0,0,0,0,-0.100799286741994,0,0,-0.0248561255794201
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00378399637229809
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497079457707526
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
