,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0514950232560096,0.0050975063457373,0,0,0.116783503984653,0,0,0,0,0,0.129922196422136,0,0,0,0,0,0
ETH,0,0,0.193065545262108,0.112934718541423,0,0,0,0.112621006977792,0.0628587307277215,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0594552282868792,0.063605851940367,0,0,0.130411609866995,0.000879913583327828,0,0,0,0,0.261419201854335,0,0,0,0,0,0
BCH,0,0,0,0,0.0115048264150167,0,0.119428314195531,0.0611494364908461,0.10522220202717,0,0.0122237238417606,0.358199930287547,0,0,0,0,0,0,0,0
EOS,0,0,0.1908353903715,0.117038400876419,0,0,0,0.0304872137396595,0.00343002380075141,0.156833488487044,-0.000000000000000000433680868994202,0,0,0,0,0,0,0,0,-0.0438028493191987
LTC,0,0,0.145608655981584,0.191774858466796,0.0316954603970607,0,0,0.00831986857881019,0.00805854475330611,0,0,0,0,0.0959991000696787,0,0,0,0,0,0
XLM,0,0,0.082615803307744,0,0.100281584448889,0,0,0.252256554024187,0.0142779360085778,0.0290188082039057,0,0,0,0.1765357496247,0,0,0,0,0,0
ADA,0,0,0.154285540759032,0.0496717119130699,0.0808852976565867,0,0.231584807620837,0,0.0360901441604855,0,0.0643496524697121,0,0,0.0442048518773587,0,0,0,0,0,0
MIOTA,0,0,0.0553217353511139,0.233785023353658,0,0,0.00742184497437476,0.226116052524857,0,0,0,0,0.202721095166726,0,0,0,0,0,0,0
TRX,0,0,0.107047003447008,0.0940994947704747,0.141665605099255,0,0.292264039979696,0.0968875035867439,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0724448390586996,0.0888370654113935,0,0,0.0537328331302715,0.215580178803263,0.0474272478800839,0,0,0,0.163475925040172,0,0,0,0,0,0
XMR,0,0,0,0.175738231285598,0.0204975123763084,0,0,0.056587811307968,0,0.0269074584801547,0,0,0.130853893999866,0.140950689046529,0,0,0,0,0,0
DASH,0,0,0,0.20726148184016,0,0,0.0723668145480286,0,0.121972781751499,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.072274510577741,0.0341908278483642,0.0400715953618802,0,0.221199299056709,0,0.239800515758302,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0817624179722806,0.023688333674557,0,0,0.12201307007627,0.092740270037141,0,0,0,0,0.0524821225671009,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0296789394013229,0,0,0,0,-0.00140648675886433,0,0,0,0,0,0,0,0,0,-0.122695705062296
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000000760082464271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0653424486604305
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
