,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0792529563656798,0,0,0,0.00510293972711351,0,0,0.0111887580982202,0.0787388914756814,0,0.110201759563912,0,0,0,0,0,0
XRP,0,0,0,0.0607971089805058,0,0.107548172251382,0,0,0,0.115160079990515,0.0509874236828853,0,0.0299727371078843,0.0453164650792782,0,0,0,0,0,0
ETH,0,0,0,0.148491318913053,0.0396047854255589,0,0,0,0,0,0,0.0789180466816732,0,0.17716408664183,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0122962556577647,0,-0.00000000000000000693889390390723,0.392366754584867,0,0,0.265286794117903,0,0,0,0,0,0
EOS,0,0,0,0.035402454012937,0,0.159500456364708,0.115287870007111,0,0,0.190941554588342,0,0,0,0.124362227856936,0,0,0,0,0,0
XLM,0,0,0.237910619484784,0.11364972379306,0.136597450250845,0,0.0296275594286275,0,0,0,0,0.0963257137308139,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0685501856940952,0.202438179107292,0,0,0,0,0.268878987595874,0.0433370499237789,0,0,0.0391283847727139,0,0,0,0,0,0
BSV,0,0,0,0.433012386071324,0,0,0,0,0,0,0.11803077726921,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.214212274371663,0,0,0,0,0,0.0396288417398988,0,0,0.0549370210182303,0,0,0,0,0,0,0
ADA,0,0,0,0.253796182622851,0.176361224857863,0,0.00846240286133647,0,0.0317956081746489,0,0,0,0,0.0234802988561109,0,0,0,0,0,0
MIOTA,0,0,0,0.118285187473413,0.0454092109332907,0,0.0782331868977563,0.0205072705448047,0,0,0,0,0,0.334856351268392,0,0,0,0,0,0
XMR,0,0,0,0.161560494120825,0,0,0,0,0,0,0,0,0,0.341043021301641,0,0,0,0,0,0
BNB,0,0,0.100601109727162,0,0.0628929022130472,0,0,0,0,0.0897465906869336,0.064520706866846,0,0,0.0393237356250809,0,0,0,0,0,0
DASH,0,0,0.0588467773976049,0.122141040841844,0.15138795137593,0,0,0.00865033147404977,0.0157831949290618,0.219965590713059,0,0.153254467601329,0,0,0,0,0,0,0,0
XEM,0,0,0,0.069478455186814,0,0,0,0,0.0345773037711224,0,0,0.369902234211137,0.0702226033645421,0.0000000000000000138777878078145,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133759
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032236583172807
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115411871700224
VIX.INDEX,0,0,0,-0.00000000000000000000042351647362715,0,0,0,0,0.0000607129256130081,0,0,0,0,0,0,0,0.170378292915869,0,-2.38396831172313,0
