,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0997006953762546,0,0.0606373149904689,0.015869135222453,0.0705050117037405,0,0,0,0,0.0343881937385146,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.159133215548112,0,0.260192296645045,0,0,0,0,0.170234496687494,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.188250331057563,0.0483632073857625,0.0396630294278512,0,0,0,0,0.196059793593362,0,0,0,0,0,0,0,0,0
EOS,0,0.132656367649098,0,0,0.145336195372249,0.117584133854959,0,0,0,0,0.305463472299003,0,0,0,0.0427840537453884,0,0,0,0,0
LTC,0,0.0721914130463049,0,0.191680446743638,0,0.172333874023049,0,0,0,0,0.225548410925357,0,0,0,0,0,0,0,0,0
BCH,0,0.223851527190028,0,0.122621322454706,0.260782290392863,0,0,0,0,0.121910521946405,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0741999840829576,0,0,0.0727676268828867,0.18328542617674,0,0,0,0,0.197697475189911,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.279544467472959,0.111347466896097,0,0,0,0.0929894150412253,0.101329877765319,0,0,0,0,0,0,0,0
BNB,0,0.0072538048239751,0,0.170591439296955,0.192365048106596,0,0,0.275647156290596,0,0,0,0.113889019557864,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0157050273033467,0,0.482578184771625,0,0,0,0,0.03472075872766,0,0,0,0,0,0,0,0,0
ADA,0,0.227537703855217,0,0.312156890339841,0.10833901909151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.224605483623664,0,0.121601818052596,0.126101998174248,0.000788241431850759,0,0,0,0,0.135568058051411,0,0,0.0543439959169951,0,0,0,0,0,0
MIOTA,0,0.0753006814224995,0,0.376807679305844,0,0,0,0,0,0,0.0997078460508034,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.324172621455501,0,0.0425477769817129,0,0,0,0,0.187466331216488,0,0,0,0,0,0,0,0,0
MKR,0,0.380911627408834,0,0.265965776444944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157447075720011
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104338844079632
VIX.INDEX,0,0,0,0,0.00000513293080642164,0,0.00000286825784572241,0,0.00000276451694949449,0,0,0,0,0,0,0,0,0,-2.6858052863201,0
