,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0509941565077273,0.00445408257124584,0,0.107898690737837,0,0.00858907194223566,0,0.0028866785317187,0,0,0.159178246888504,0,0,0,0,0,0
ETH,0,0,0.213329447587967,0.0206254280673518,0.0056674244421224,0,0.0264500985448591,0,0.215019797635262,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0549599119279179,0.0564011149412089,0,0.11276752117834,0,0.00545809049959558,0,0.00391909517621843,0,0,0.356887613777915,0,0,0,0,0,0
BCH,0,0,0,0,0.0113263366745447,0,0.0645945985880402,0.056869568536516,0.155606187329121,0.0114012238351327,0,0,0.320799015447137,0,0,0,0,0,0,0
EOS,0,0,0.243158946822574,0.0167472037249891,0,0,0,0,0,0.292333545151513,0.00330257741668288,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0873750389288414,0.185718192444228,0.0351000240909231,0,0,0.0160491906255292,0,0,0,0,0,0.110556357500757,0,0,0,0,0,0
ADA,0,0,0.233997695842021,0.0456235975000103,0.0517379512903719,0,0,0.226041239092497,0.0152985360785883,0,0,0,0,0.0627302869673357,0,0,0,0,0,0
XLM,0,0,0,0,0.107486252346785,0,0.286499271248508,0,0.031493683522181,0.0160472784019883,0,0,0,0.206905583910392,0,0,0,0,0,0
MIOTA,0,0,0.117866824510736,0.210742920592144,0,0,0.190699411677595,0,0,0,0,0,0.15341850840405,0.0875571337963204,0,0,0,0,0,0
TRX,0,0,0,0.0251706711432408,0.176423051633023,0,-0.00000000000000000693889390390723,0.37040881215184,0,0,0.198092407303071,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0872070994691012,0.0976707205227623,0,0.0294376268919137,0.0828393389271567,0.198344987160412,0,0,0,0,0.249509439038004,0,0,0,0,0,0
XMR,0,0,0,0,0.0142778489556749,0,0,0.0652914276869271,0.0866366535982442,0,0,0,0.268872687706733,0,0,0,0,0,0,0
DASH,0,0,0,0.204351202922027,0.002839841161243,0,0,0.0240889637857987,0.269377252522664,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.10662116534174,0.0406591867269726,0,0,0,0.209263299451431,0.204735703225149,0.00889487604923312,0.0986245638797919,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0572281038510554,0.0487466275171057,0,0.052031146589824,0,0.103909896609257,0.0919854879698496,0,0,0.0737430781407989,0.03226566733577,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00654209741287616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931156677344791
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000000300122456066655,0,0,0,0,0,0,-0.000000000000000000000105879118406788,0,0,0,0,-0.0909082706563515
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
