,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0835429628873453,0.0326004737874211,0.027843090128017,0,0,0,0,0,0.0169670202982217,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.118930263543703,0.0122010152884184,0,0,0,0.132941028727794,0,0.165332445327763,0,0,0,0,0,0,0,0,0,0
XRP,0,0.121390189633841,0,0,0,0,0,0.376188313102503,0,0,0.212907927504369,0,0,0,0,0,0,0,0,0
BCH,0,0.436790209502277,0,0,0,0,0,0.0639273404180747,0,0.0857176439299523,0,0,0,0,0,0,0,0,0,0
EOS,0,0.176309188857657,0.140933378483671,0.0858249572033905,0,0,0,0.0543626947069249,0,0,0.0325893632130651,0,0,0,0,0,0,0,0,-0.0125952646515129
XLM,0,0,0.146683711492618,0,0,0,0,0.359553493134533,0,0.0858038128869399,0,0,0,0.0262751148968965,0,0,0,0,0,0
LTC,0,0.183946792602801,0.0337307739878087,0.0337699780095294,0,0,0,0.103180003814869,0,0,0.0709969844914186,0,0,0,0,0,0,0,0,0
ADA,0,0.154758108368381,0.109779520544486,0,0,0.221364061663027,0,0,0,0.11306659886879,0,0,0,0.0436979756141101,0,0,0,0,0,0
XMR,0,0.412521783209602,0.0951287540173472,0.0230430712385057,0,0,0,0,0,0,0.0298548840189613,0,0,0,0,0,0,0,0,0
TRX,0,0.43725387502644,0,0,0,0,0,0.260239067432091,0,0,0.0317523422754954,0,0,0,0,0,0,0,0,0
MIOTA,0,0.139978997169532,0.0995918669069391,0,0,0,0,0,0,0.133612991922328,0,0,0,0.25365903965609,0,0,0,0,0,0
DASH,0,0.155218539681947,0.0582969033190309,0,0.193105820825196,0,0,0.0066809962662718,0,0.0142597694094926,0,0,0,0,0,0,0,0,0,0
BNB,0,0.0659323940420585,0.0320644857405604,0.00114229175883974,0,0,0,0,0,0.127091315460967,0,0,0,0,0,0,0,0,0,0
NEO,0,0.0772044123649347,0.0195533544141423,0,0,0,0,0.126867390057386,0,0,0.339401457819324,0,0,0,0,0,0,0,0,-0.00974431465512263
ETC,0,0.253447868842054,0.0142245400379617,0,0,0,0,0.111350747522726,0,0,0,0,0,0.0324623186280199,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0179890260096372,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361670846021216
CVIX.INDEX,0,0,0.00131474420752726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191849820991144
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717973781329751
VIX.INDEX,0,-0.0339648463852084,0,0,0,0,0,0,-0.00000000000000000010842021724855,0.00209515401402314,0,0,0,-0.0116975219595743,0,0,0,0,-2.91652622929294,0
