,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,DOGE,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0101053609211273,0,0,0,0,0.0844445977908101,0,0,0,0.00366718671325052,0,0,0,0,0,0,0
ETH,0,0,-0.0511937482882497,0,0.0742417191729217,0,0,0,0,0.162818054157986,0,0,-0.000000000000000000433680868994202,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.152829434558036,0,0,0,0,0,0.433228382803773,0,0,0.0104728376340937,0,0,0,0,0,0
LTC,0,0,0,0,0.0560307389145926,0.0992682602144871,0,0,0.278013325988082,0,0.0264842385068932,0,0.144159537914249,-0.0351137200031985,0,0,0,0,0,0
ETC,0,0.560027941786403,-0.0233968313307427,0.0211527796814827,0,0.097891941264575,0,0,0,0,0,0,0.0709337541593908,-0.000000000000000000216840434497101,0,0,0,0,0,0
XEM,0.168628204406174,0,0.124625985540071,0.00151080147678628,0,0,0,0,0.024784774901008,0,0,0.215081219309576,0,0,0,0,0,0,0,0
DASH,0,0,0,0.000000000000000000216840434497101,0.0500034095196622,0,0,0,0.174777275341074,0,0.0041094543028773,0,0.0454156870455154,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0745231771201762,0,0.0965117417393448,0.322205515815238,0,0,0,0.099704796267941,0,0,0,0.0290179299749846,0,0,0,0,0
ZEC,0,0.27360232822228,0.0568710816287622,0,0,-0.000000000000000000867361737988404,0,0,0,0,-0.000000000000000000433680868994202,0.0717746670663896,0.00854534497663889,0,0,0,0,0,0,0
XLM,0,0,0.43165731356452,0,0,0,0,0,0.141295903389772,0,0,0,0,0.0305377758430589,0,0,0,0,0,0
DOGE,0,0,0,0.261906302809789,0.061241744897619,0.206912683324029,0,0,0,0,0.0601654946495939,0,-0.000000000000000000216840434497101,0.0904205930068122,0,0,0,0,0,0
NEO,0,0,0,0.210862302908661,0.362874590290668,0,0,0,0,0.102697901378095,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.166553340268832,0,0.406553440200021,0.223317697739783,0,0,0.0478768672241502,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00378799898933162,0,0,0,0,0,0,0,0.0226692633978387,0,0,0,0,0,0,-0.0569797668047432
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000207074166502357,0,0,0,0,0,-0.0143332797393826
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
