,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0912499120660059,0,0.00151150072777528,0.0520806162335448,0.112163672716085,0,0,0,0,0.0176083306853028,0.0557092550766879,0,0,0,0,0
ETH,0,0,0,0,0.0825485808108059,0,0.000558836050096701,0.0025018061370619,0.111825792638293,0,0,0,0,0.010875871564978,0.0769088387008011,0,0,0,0,0
XRP,0,0,0,0,0.0760190845658895,0,0,0.00000000000000000010842021724855,0,0.0223818017585211,0,0,0,0,0.31163902204559,0,0,0,0,0
BCH,0,0,0,0,0,0,0.515091361630671,0,0,0,0,0,0,0,0.0787431829463947,0,0,0,0,0
LTC,0,0,0,0.0147096375956376,0,0,0,0,0.0476840809847216,0,0.622402786157062,0,0,0,0.106715959086441,0,0,0,0,0
DASH,0,0,0,0.0139949402229636,0,0,0.0360097684726664,0,0.0811507981114696,0,0,0.20896233021057,0,0.0717206797974554,0,0,0,0,0,0
XEM,0,0.291321730642707,0,0.0775311087194897,0,0,0,0.0241785675225146,0.0372078078311444,0,0,0,0,0.138125008029435,0.12627698620466,0,0,0,0,0
NEO,0.465081542866839,0,0,0.0715747680829648,0,0,0.167158637573394,0,0,0,0,0,0,0.285086309649166,0,0,0,0,0,-0.0273512585591871
MIOTA,0,0.287557848860319,0,0,0,0.15584790623478,0.0567761157458402,0.023302535421833,0,0,0,0.0833903523152702,0.105988378126171,0.174544135921882,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0.151574960406918,0,0,0.239963079057946,0,0,0,0,0
ETC,0,0,0,0,0.355319564427941,0,0,0,0,0,0,0.0617475858218116,0.0180526736607257,0.000000000000000000867361737988404,0.039263869160308,0,0,0,0,0
ZEC,0,0,0,0,0,0.139300859614379,0.0324524001892548,0,0,0,0.0677439511738158,0,0.149505103437288,0,0.215702878105804,0,0,0,0,0
EOS,0,0,0,0,0.050967615739735,0,0.0879390648912936,0.0615169200720906,0.00287713068342267,0,0,0.0339617822299131,0,0.0356951274278043,0.165277604212868,0,0,0,0,0
BAT,0,0,0,0,0.110155970661662,0,0.156039469844008,0.189091547898868,0.0181248851956328,0,0.114297495574656,0,0.146695150739343,0,0,0,0,0,0,0
XLM,0,0,0.314401637521282,0,0,0,-0.00000000000000000173472347597681,0,0,0.157898336183752,0.249096067201008,0.150631216418974,0,0.0239531710446901,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00437896603182063,0,0,0,0,0,-0.0404198081437894
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132511618585117
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000212577650996456,0,0,0,0,0,0,0,0,0,-0.0379359882732963
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
