,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0419801378283711,0,0,0.126271347512493,0,0,0,0,0.0339212948078964,0,0.051164077053924,0,0,0,0,0
ETH,0,0,0,0,0,0.0389684306795196,0,0.180088594113235,0,0.0198938951193268,0,0.120288746601025,0,0.0316114077226301,0.091508291651657,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.261234326602458,0,0,0,0,0,0,0,0,0.00640559475694773,0,0.0458374776125384,0.0704279664158504,0,0,0,0,0,0
LTC,0,-0.00000000000000000693889390390723,0,0,0,0,0,0,0.00451164830833541,0.428539457527485,0,0.0310864063099706,0.0585277936793358,0,0.00885022745379221,0,0,0,0,0
XEM,0,0,0.0941270991203284,0,0,0,0,0.0931314050243459,0,0,0.0236261430838906,0,0.212641257807809,0.0274767859088145,0.154343456340058,0,0,0,0,0
DASH,0,0,0,0,0,0.0766775767103339,0,0.0711757493156487,0,0,0,0.21775137271949,0,0,0.0553577368854775,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0244317901823569,0,0,0,0,0.113893980581672,0.41950911063436,0,0,0.0579772391645839,0,0,0,0,0
XMR,0,0,0,0.151930318695194,0,0,0.0913925200941,0.022875045193399,0,0,0,0,0.0275972814681413,0.241897631109787,0,0,0,0,0,0
ETC,0,0.311022483513207,0,0,0.0920707320789562,0,0,0,0.0178128509631361,0,0,0,0,0.054910822337837,0.00913768049755211,0,0,0,0,0
NEO,0,0.19381419351985,0,0,0,0.187894084580094,0,0.241604437021553,-0.179438881899704,0,0,0,0.110126656319347,0,0,0,0,0,0,-0.111865737220288
ZEC,0,0.139369592419883,0,0,0,0,0.0573838460778851,0.129670109811541,0.0488470426482227,0,0,0,0.0117940073977165,0.0480847528124418,0,0,0,0,0,0
EOS,0,0.048207918992771,0,0,0,0.080680393471132,0,0.0782403040875999,0.0000000000000000000271050543121376,0,0.0259361690469303,0.0194472737825702,0,0.120672508295817,0.0557903538711239,0,0,0,0,0
XLM,0,0,0,0.26298333673163,0,0.0309397946568499,0,0,0.241532271444308,0,0,0,0,0,0.166837827044171,0,0,0,0,0
BAT,0,0.339445412331224,0,0,0.0225131665182104,0.282127518353872,0,0,0,0.00000000000000000346944695195361,0.212923804831916,0,0.0164618036497976,0.0316432932636372,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00544602986223441
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397022381986229
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
