,BTC,ETH,BCH,MIOTA,XRP,LTC,DASH,BTG,XMR,ADA,ETC,XLM,XEM,EOS,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.132058165887411,0,0,0.0974983316567471,-0.0810693327510622,0.0231288617881786,0,0.0171463893491609,0,-0.00440084144003244,0,0.131999014899589,0,0,0,0,0,0
ETH,0,0,0,0,0.0297523929135442,0,0.0670061231600017,0,0,0.033327884468711,0.14813830504229,0,0.0784129055444723,0.0311045986900694,0.0214760925710751,0,0,0,0,0
BCH,0,0,0,0,0,0,0.220401816720858,0.0978315608466878,0,-0.0618041962442089,0.10332801247759,-0.0232750590618652,0,0,0.257969438794314,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,-0.0122031175413711,0,0.27094973686291,0,0.094119420240366,0,0,0,0,0,0,0,0
XRP,0,0,0,0.00383419504636317,0,0,0,-0.017968687208777,0,0.0951487870461389,0.0634217979306671,0.0321479061169434,0,0,0,0,0,0,0,0
LTC,0.0184362217311641,0,0,0.0340843914701132,0.125243142172926,0,0,0,0,0.0338117343617551,0.140015831582506,0,0.046404705201771,0.00332736910818498,0,0,0,0,0,0
DASH,-0.212191231077112,0.0620723626957464,0,0,0,0.0781508403996317,0,0.00744605378885198,0.0897523371253997,0,0,0,0,0.000233710270435524,0.0971039740639898,0,0,0,0,0
BTG,0,0,0.272923311776458,0,0,0,0,0,0,0,0,-0.00101048472162898,0,0,0,0,0,0,0,0
XMR,0,0,0.0517935937183703,0.109398756045383,0,0,0.155444517351362,0,0,0.119841029122868,0.0418067855299628,0.0241330848334463,0,0,0,0,0,0,0,0
ADA,0,0,-0.0903840604342709,0.0591722492444525,0,0.194357317831238,0,-0.0313889657345217,0.0580509485195067,0,0.257656960166649,0,0.178501829003924,0,0,0,0,0,0,0
ETC,0,0,0.147666529064829,0,0.0293760585055978,0,0,0,0,0.227201119610993,0,0.0125301290670751,0,0,0,0,0,0,0,0
XLM,0,0,0,0.16282037841825,0,0,0,-0.0179727904774508,0.289420283628734,0.230930789221467,0,0,0,0.0448362969851316,0,0,0,0,0,0
XEM,0,0.025408633999968,-0.0306132009387758,0.076018704424105,0,0,0,0,0.000000000000000000433680868994202,0.0571531890278032,0.0799990312038527,0.0198981060890112,0,0,0,0,0,0,0,0
EOS,0.444325051285691,0,0.125505612970017,0.194353622461038,0,0.152412578914603,0,-0.0161735054186317,0,0,0.124318617157894,-0.0412310704904186,0,0,0.120395435124551,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0545953895788339,0.0892520561407178,0,0.0349857873918602,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.011633244477376,0,0.0171273542796671,0,0.0228618897922035,0.0147252599937217,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.0000000190784818044493,0,0,0,0,0,-0.00000000728832381624993,0,0,0,0,0,0,0,0,0,-0.00708038983200153
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
