,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.155696175709212,0.095847964875594,0,0,0,0.0321256015215762,0,0,0.0612164534004971,0.0476533115022533,0.0314966770685387,0.0534428303488129,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0633449427447561,0,0.0921503539287024,0,0,0.00000000000000000346944695195361,0.167728598012729,0.145481113808138,0.0265038883895986,0,0,0,0,0
XRP,0,0,0,0,0,0.0441603739607916,0,0.311492615037882,0,0.0227581475107335,0,0,0,0.0970129254613206,0.151260133338824,0,0,0,0,0
BCH,0,0,0,0,0.273456261261551,0,0,0,0.117994937243271,0,0.102909230465546,0.0427718669713161,0.105688983566742,0.0110279678048107,0,0,0,0,0,0
LTC,0.116118741232425,0,0,0.182383339893107,0,0,0,0,0.100176912341102,0,0,0,0.0976274302817448,0,0,0,0,0,0,0
ADA,0,0,0.195429703608322,0,0,0,0,0.192843530086862,0.0137602947738389,0,0,0,0,0.0253775689888767,0.0590157162994292,0,0,0,0,0
NEO,0,0.0751526876899749,0,0,0,0.0742548992266382,0,0.168039533710605,0,0,0,0.138078280134182,0.00622806293220644,0.0881347403203677,0,0,0,0,0,0
XLM,0,0,0.201791486615865,0,0,0.19846662682938,0,0,0,0,0,0,0,0.231673602934252,0.0177452284446235,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.00820985729889401,0,0,0,0.277340065027173,0.304504031908444,0.0242807132759157,0.0523163124326087,0,0,0,0,0
MIOTA,0,0,0,0,0.0922290657554293,0,0,-0.00000000000000000173472347597681,0,0,0,0.109149349570868,0.369507813823873,0.0877653862858232,0,0,0,0,0,0
DASH,0,0,0.0271501781479971,0.0511157368573713,0,0,0,0,0,0,0,0.149892819259582,0.0125299704391661,0,0.0878486478778535,0,0,0,0,0
XMR,0,0,0,0,0.0383163237020725,0,0.128983764352692,0.0471724774870329,0.130151839308708,0,0.253817427920257,0,0.117226241023755,0.0293022241741893,0,0,0,0,0,0
ETC,0,0,0,0.164711429962594,0.0951067662464627,0,0.18370483561129,0,0.179552321022717,0,0,0.0329874474003973,0,0,0.0682021050503821,0,0,0,0,0
XEM,0,0,0.117907957187053,0,0,0.0714191576729794,0.0236918172960301,0.293811899537488,-0.00000000000000000173472347597681,0,0,0.0329507244266029,0,0,0,0,0,0,0,0
TRX,0,0,0.406815091076153,-0.0000000000000000138777878078145,0,0,0,0.0897073204816947,0,0.288007066213144,0.121860983731248,0,0,0.129657413880876,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0166161480045955,0,0,0,0,0.00533917806698244,0,0,0,0,0,0,0,0,0,0,-0.0282226788202091
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.00000000414666372801185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651305184564
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
