,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0470439989768713,0.673029301866755,0.0559435221701386,0.0787109142342714,0.0398739517885462,0,0,0,0,0,0
XRP,0.343362073603855,0,0,0,0,0.087589795949282,0,0.0620380361978986,0,0,0,0,0
LTC,0.568627112847175,0,0,0,0,0,0.0201309845979371,0.00430855609587014,0,0,0,0,0
DOGE,0.450028812032451,0,0.130649874126937,0,0.0456823978451601,0,0,0.00991209576629511,0,0,0,0,0
DASH,0.635321280011597,0,0.0898888015231289,0,0,0,0,0,0,0,0,0,0
XLM,0.402731934418498,0.188922185306121,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,-0.0216362455433471
XMR,0.808938487261301,0,0,0.255119867905926,0,-0.130781501099836,0,0.0241320644596071,0,0,0,0,0
DGB,0.59617675938363,0,0,0,0.0125071652068719,0,0,0,0,0.215364671410661,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284327218295594
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735587418378609
VIX.INDEX,0,0,0,0,0,0,-0.000000097807644181991,0.0000000188818574855745,0,0.0000000122773365594414,0,-4.46588561337423,0
