,BTC,ETH,XRP,LTC,ETC,XEM,MIOTA,DASH,XMR,ZEC,XLM,DOGE,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0749342180412378,0.0244335220565506,0,0,0,0.0689554370948147,0.00463203217242554,-0.0119608687320965,0,0,0.0154716198186256,0,0,0,0,0,0
ETH,0,0,-0.0511937482882498,0,0.0742417191729217,0,0,0,0,0.162818054157986,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.152829434558036,0,0,0,0,0,0.433228382803773,0,0,0.0104728376340937,0,0,0,0,0,0
LTC,0,0,0,0,0.0250111068033536,0.125062371264557,0,0,0.248365269871351,0,0.0249975770499767,0,0.150943187664897,-0.0157641036356149,0,0,0,0,0,0
ETC,0,0.564923432144175,-0.043561700963789,0.0134057084006923,0,0.117038800800551,0,0,0,0,0,0,0.0720576287663048,0,0,0,0,0,0,0.0652568097694205
XEM,0,0,0.0916973804595049,0.180152462415428,0,0,0,0,0.0401709221794994,0,0.0647601095184834,0.199439507106653,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.074066639983427,0,0,0,0.260759014815058,0,0.0108309655933281,0,0.051672129393581,0,0,0,0,0,0,0
XMR,0,0,0,0.0891582512857155,0,0.107633984738644,0,0.338890560485898,0,0,0.0911278422263387,0,-0.0135711503977977,0,0.0301743562224241,0,0,0,0,0
ZEC,0,0.270419070534553,0.0563802219552186,0,0,-0.000000000000000000867361737988404,0,0,0,0,0,0.0722022115136,0.00857660694011005,0,0,0,0,0,0,0
XLM,0,0,0.455111950486409,0,0,0,0,0,0.150398553779361,0,0,0,0,0.0360007990692582,0,0,0,0,0,0
DOGE,0,0,0,0.162761213439964,0.0313975395315208,0.231595937510303,0,0,0,0,0.0575142535664678,0,0,0.104338182533543,0,0,0,0,0,0
NEO,0,0,0,0.353924118453273,0.439731455977288,0,0,0.00566734348237206,0,0.127503440587172,0,0,0,0.0208417329642501,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.214642752869761,0,0.390519551849365,0.256454472556749,0.00539788514503923,0,0.0508616690635397,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00110963982353616,0,0.00611250261854161,0.00205875356534315,0,0,0,0,0,-0.0316605679802677
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00192837075374061,0,0,0,0,0,0,0,0,-0.000091867182473104,0,0.000213072053992908,-0.00276615417547177,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000000330872245021211,0.000169387503849441,0,0,0,0,0,-0.0148386496483386
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
