,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.00240092356277211,0,0.104046990237711,0,-0.000000000000000000216840434497101,0,0,0,0.0439759083258718,0,0,0,0,0
ETH,0,0,-0.0682915014357219,0,0.128074555090269,0,0.100026456830103,0,0.118144649806948,0,0,-0.00771679633822169,0,0,0,0,0,0,0.0245457763641521
XRP,0,0,0,0,-0.11604462356778,0,0,0,0,0.454412246458495,0,0,0,0,0,0,0,0,0
XEM,0,-0.167452238713152,0.193734813234671,0,0,0,0,0,0,0,0.302454768876887,-0.118315765386751,0,0.136591016400709,0,0,0,0,-0.067447189431655
ETC,0,0.226080652958771,-0.102533518782152,0,0,0,0,0,0,0,0,-0.0179818299797416,0,0.309369279097023,0,0,0,0,0
LTC,0,-0.250800660939298,0,0,0,0,0,0.430695730092842,0,0.0291450218070412,0.0591668553613329,-0.0697992494680298,0,0.209853219058425,0,0,0,0,0.0682280723025631
DASH,0,0.067016838186001,0,0,0,0.0298811706837497,0,0.160114068587932,0.0326001524904056,0,0,0,0,0.109387063863736,0,0,0,0,0
XMR,0,0,0,0.1625614084376,0,0.00673788547293854,0.174629462297024,0,0,0.0871242910249109,0,0,0,0,0,0,0,0,0
ZEC,0,0.252998501709798,0,0,0,0,0,0,0,0.0056959325734107,0.0590405003461461,0,0,0.0450728421074576,0,0,0,0,0
XLM,0,0,0.481880546597469,0,0,0,0,0.152847185761023,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0.157542033797458,0,0.278766356012785,0,0,0.0191802168376043,0.0879472508962007,0,0.0865524670135418,0,0.0565287111812834,0,0,0,0,0
DGB,0,0,0,0,-0.0559877495432105,-0.264054567328258,0,0.276051872517544,0,0.165529622457505,0.661945410596612,0,0,-0.0639829714424047,0,0,0,0,-0.16057327765349
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.422417141801963,0,0,0.172337185161038,0.0933211308415731,0.0306001055398198,0,0,-0.0834283933201817,0,0,0,0,0,-0.179178521025097
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.000656182116607029,0,0.0249417020845538,0,0,0,0,-0.0535883815407049
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.0000847939182320356,0,0,0,0,0,0,0,-0.000564010839265967,0,-0.00296423855618082,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.000283290707900026,0,0,0,0,0,0,-0.0198982366926729
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
