,BTC,ETH,XRP,BCH,LTC,BSV,EOS,BNB,XMR,TRX,XLM,ADA,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.147727318344761,0.00600441670716572,0,0.245813266842926,0.0256482414411367,0,0.00364388495749834,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0397339038159713,0,0.028830550392358,0.225894216136199,0.164517384800581,0.0367251214822742,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.020426227657146,0,0.0425004236341124,0.174854870562953,0.0349986206492395,0,0.127906721924115,0,0,0.00858974122866921,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.241325400093896,0.289335683106306,0,0,0.037011138355711,0,0,0,0,0.0152966705473781,0,0,0,0,0
LTC,0,0,0,0.178422071842373,0,0,0.559146284069391,0,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.458652037391828,0.0407976995229267,0,0.116510399172228,0,0,0,0,0,0,0,0.0971907392615813,0,0,0,0,0
EOS,0,0,0,0.133790592789836,0.227974271174234,0.0848193488447849,0,0.127034626802193,0,0.0636241113196575,0,0,0,0,0.0241832690777102,0,0,0,0,0
BNB,0,0,0,0.112753542582914,0,0,0.349353817415292,0,0,0.0807675169171128,0,0,0,0,0,0,0,0,0,0
XMR,0,0.226476621955364,0,0,0,0,0.0736663277758487,0.223758095729894,0,0,0,0,0,0,0,0,0,0,0,-0.0686485545452705
TRX,0,0,0,0.0323184649651917,0,0.0207628687226807,0.239541940660217,0.31064581060171,0.0371290291993952,0,0,0,0,0,0.0709863782143616,0,0,0,0,0
XLM,0,0,0,0.00983686603651574,0.113119120569734,0,0.218596391535248,-0.00000000000000000346944695195361,0,0.129093386086465,0,0,0,0,0.0304725998039283,0,0,0,0,0
ADA,0,0,0,0,0,0,0.114246792409972,0.119154355923768,0,0.205300717217429,0,0,0,0,0.0824161381858408,0,0,0,0,0
XTZ,0,0,0.421495650014041,0,0,0,0,0,0,-0.153741340724346,0.000518676674388874,0,0,0,0.128688075006771,0,0,0,0,-0.0842688772149602
LEO,0,0,0,0,0,-0.00000000000000000010842021724855,0,0,0,0.133233803621394,0.0757508237294582,0,0,0,-0.0655537471830673,0,0,0,0,-0.0116218248794646
ATOM,0,0,0,0,0.205085939738237,0,0,0,0,0.0907712002059636,0,0.363615811746403,0.351088714706043,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0523555511858786
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0.00000580723951488113,0,0,0,0,0,0,0,0,0,0,0,0,-0.051987582808977
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
