,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,LEO,TRX,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.252345137225329,0,0.220098235957042,0,0,0,0,0.243310567000525,0,0,0,0,0.0144281421868563,0,0,0,0,0,0
ETH,0.167885418135052,0,0,0,0.102941538862733,0,0.205611285063131,0.0490386825725336,0,0,0,0,0.16974194862634,0,0,0,0,0,0,0
XRP,0,0,0,0.273721435457587,0,0,0,0,0.0293439997126261,0,0.0804975726335227,0,0.106836463795295,0,0,0,0,0,0,0
BCH,0.0837250877631374,0.350374629191548,0,0,-0.000000000000000000867361737988404,0,0.120846232343194,0,0.0178560058102016,0,0,0,0.122755584997876,0,0,0,0,0,0,0
LTC,0,0.102296819465499,0,0,0,0,0.409115974997556,0,0,0,0.0478477067980497,0,0.00142896549290862,0,0,0,0,0,0,0.00932657919791629
BNB,0,0.162627308037414,0,0,0.179051394524703,0,0,0,0.0557019741936994,0,0,0,0.0357650668730992,0,0,0,0,0,0,0
EOS,0,0,0,0.180484020689081,0.0963374563979514,0,0,0.02612819635784,0,0,0.0522306069461821,0,0.29470237767872,0,0,0,0,0,0,0
BSV,0.0220769664676526,0,0,0.229770025273995,0,0,0,0,0,0,0,0,0.357898743482681,0,0,0,0,0,0,0
XMR,0.342273395947828,0.0127614041143562,0,0.0905437774335467,0,0,0.0934127654722417,0,0,0,0,0,0.135478178852236,0,0,0,0,0,0,0
XLM,0,0.00333741716191937,0,0.086036663203654,0.00892044572579967,0,0,0,0,0,0.212544466129961,0,0.222528682777091,0,0,0,0,0,0,0
ADA,0,0,0,0.0412037876471561,0,0,0.27386237633925,0,0,0.240359117453368,0,0,0.216709867154534,0,0.0134094445465739,0,0,0,0,0
LEO,0,0,0,0,-0.0000000000000000000271050543121376,0,0,0,0.150561125473611,0,0.119325345845127,0,0,0,0,0,0,0,0,-0.0751212760805282
TRX,0,0,0,0,0,0,0.246199868807993,0.224750966440205,0.135190150442717,0,0.168079418810071,0,0,0,0,0,0,0,0,0
DASH,0.132281629882994,0,0,0,0,0,0.138838074391663,0.0483290008484579,0.0776082116472633,0,0,0,0.140073845207672,0,0,0,0,0,0,0
ETC,0,0,0,0.111979570022667,0.121911546661647,0,0.0421794922702008,0.196277885780969,0,0,0.0678455563998372,0,0.0507717008016668,0,0,0,0,0,0,0
BV010082.INDEX,-0.129699559246433,0,0,0,0,0,0,0,0,0,0.0867665143750242,0,0,0,0,0,-0.288126740163323,0,0,-0.129982409158536
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404466627403236
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341307574752499,-0.0000142677733209437,0,0,-0.000290032327237126
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790167882598935
VIX.INDEX,0,0,0.0000705107114414956,0.000108231571944061,0,0,0,0,0,0,0.000301250230175849,-0.000409682289142326,0,0,0,0,0,0,-3.38952956601857,0
