,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,ATOM,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.078219811553065,0,0.0877573965821646,0,0,0,0,0.0317391750937555,0.129457202147838,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.179400988516495,0,0,0.238022306438346,0.0522235401758444,0.0208402744011755,0.116028584969003,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.186225159337184,0,0,0,0.146902702263858,-0.000000000000000000433680868994202,0.0231135125411134,0,0,0.0459191090460091,0,0,0,0,0
BCH,0,0,0,0,0.235171159158867,0.217584223346589,0,0.0212152051309163,0,0.0517984587769763,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.432789624167387,0,0.147028547925682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.132759520273223,0.0605982188884802,0.1862127069881,0.261437884286791,0,0,0,0,0,0.0965817530512628,0,0,0,0,0,0,0,0,0
BNB,0,0,0,-0.00000000000000000173472347597681,0.297810762466677,0,0,0.031659917643036,0,0,0,0.0324347544014418,0,0,0,0,0,0,0,-0.0414159001876444
BSV,0,0,0,0.109507758863097,0.210962022002624,0.183866233968429,0,0,0,0,0.0452409605636475,0,0,0,0.231520737474667,0,0,0,0,0
XLM,0,0.265308468862011,0,0,0,0.0336208156420874,0,0,0,0.210826214337745,0.0259485717567584,0.0630885013197832,0,0,-0.000000000000000000216840434497101,0,0,0,0,0
ADA,0,0,0.137813593290788,0.299635515030656,0,0,0,0,0,0,0.221078680598783,0,0,0,0,0,0,0,0,0
TRX,0,0,0.389302305123187,0,0.0598402499046618,0.108237628985095,0,0.0236653712029581,0,0.0723084167705531,0,0,0,0,0,0,0,0,0,0
XMR,0,0.144341036761837,0,0,0.0882829458363926,0.0307510367456392,0,0.0177444937690288,0,0,0.231594129728804,0,0,0.004299408648638,0.0404325965667654,0,0,0,0,0
DASH,0,0,0,0,0,0.106562171673121,0,0,0.244741039152449,0,0,0.0632266835014854,0,0.00416648187148984,0,0,0,0,0,0
ATOM,0,0,0,0,0.163620941001669,0,0.223579929667051,0,0.0878677052849704,0,0.0526720964733175,0.0287832713083518,0.0256553786809884,0,0,0,0,0,0,0
MIOTA,0,0,0.3642778117587,0,0,0.0511011159802934,0,0.0932862666995191,0,0.131661496910712,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535285855848769
CVIX.INDEX,0,0,0,-0.00722177786627927,0,0,0,-0.0202664806831472,0,0,0,0,0,0,0,0,0,0,0,0.0382441637041751
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618145277373247
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
