,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0530256753337033,0.210215853706774,0.535545725897148,0,0.0256035530155689,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.398731467061913,0,0,0,-0.142747357989572,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0878628558955406,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0685027554389017,0,0,0,-0.138818782430696,0,0,0.257774484110532,0,0,0,0,-0.0449042211902688
DASH,0,0,0,0,0,0,0,0,0.0180502697647422,0,0,0.0842344921819563,0,0,0,0,0,0
ETC,0,0.359872291119533,-0.0277048800506296,0.0311320447155102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.339684356671117,0,0,0.0696639338283591,0.0221710724654951,0,0,0.0130969170460561,0,0,0,0,0,0,0,0,0
XLM,0,0,0.367721107884275,0.0759728865001035,0,0,0,0,0,0.199861396863881,0,0,0.10300951258444,0,0,0,0,0
DOGE,0,0.0576040840307305,0.159683932619458,0.0790851392408244,0,0,0,0,0.141797445001367,0,0,0,0,0,0,0,0,0
ZEC,0,0.0386603487893866,0,0,0.0922901426829804,0.0382855578157995,0.114016389047173,0.0898921048002275,0,0.074319663479698,0,0.122258661182668,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,-0.0112477207248278,-0.280183142014332,-0.0627775551536307,0.345321442750654,0.120184108069771,-0.152894533878,0,0.387257297365439,0.311242092256841,-0.219003210503918,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.00618620170619296,0,0,0,0,0,0.010320658876727,0,0,0,0,-0.0856226149308573
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.0000000530083394661644,0,0.000000395917967978768,0,0,0,0,0,0,-0.000000238502195502555,0.000000129044182977977,0,0,0,0,-0.0255018662659173
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
