,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0148790001370089,0,0.0481470821110358,0.0723685951871027,0,0,0,0.0222340364306252,0.0937160291300947,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.156674583339853,0.000699967835140374,0,0,0,0,0,0.0106903560224427,0.266063761476112,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0994573606092867,0,0,0,0,0.261120262386483,0,0,0,0.0900988618440653,0,0,0,0,0,0
BCH,0,0,0.064360431279967,0,0.158289267378656,0,0,0.0412851791202605,0,0.132509545905886,0,0,0,0.0811176744188587,0,0,0,0,0,0
EOS,0,0,0.107924886561263,0,0,0,0,0.0778177566219591,0,0.0507544719755594,0.198385044114164,0,0,0.151993885989925,0,0,0,0,0,0
XLM,0,0,0.149716039379996,0,0,0,0,0.324748866883054,0,0,0,0,0,0.0881694069869526,0,0,0,0,0,0
LTC,0,0,0,0.0325901004520472,0,0,0,0.151878758353171,0,0.130931672891335,0,0,0,0.031159933019005,0,0,0,0,0,0
ADA,0,0,0.151038016012185,0,0.113774752576136,0,0,0,0,0,0.161734341725231,0.0160600130995564,0,0.179890259322682,0,0,0,0,0,0
XMR,0,0.109897296433609,0.0989623694480536,0.0338313103852731,0,0,0,0,0,0.195937904342642,0,0.0917180564544309,0,0.00382338656076411,0.0570802474927322,0,0,0,0,0
MIOTA,0,0,0.0054370051621995,0,0,0,0,0,0,0,0.48288428173986,0,0,0.448222993336797,0,0,0,0,0,0
TRX,0,0,0,0,0.0646769274494967,0,0,0.242426692458348,0,0.299810020271971,0,0,0,0.0624225217744332,0,0,0,0,0,0
DASH,0,0,0,0,0.118559974691315,0,0,0,0,0.216123204859698,0,0,0,0.156284002580756,0,0,0,0,0,0
BNB,0,0,0.0325343861604887,0,0.0613105432347301,0,0,0,0,0.0931626117708396,0,0,0,0.180960877578759,0,0,0,0,0,0
NEO,0,0,0.0551422453731259,0,0.0803860469766152,0,0,0,0,0.403898585722165,0.0263827173998539,0,0,0,0,0,0,0,0,0
ETC,0,0.0555172593395858,0.0836324427080289,0,0,0,0,0,0,0.136641649277086,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00104152656966593,0.000978545665469495,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0746557284998257
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00450469045361017,0,0,0,0,0,0,0,0,0.000566574503713387,0,0.000600182899265514,0,0,0.0528893309497576,0,0,-0.0040994363838827
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446766156677638
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
