,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,TRX,ADA,LEO,XMR,LINK,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.234291951546378,0,0.0922677801055684,0,0.129814445862288,0,0.021991813331865,0,0,0,0,0,0,0.0477281185484174,0,0,0,0,0
ETH,0,0,0,0.273845664858497,0,0.0330128406089672,0.145791589528494,0,0.000000000000000000867361737988404,0.208155090503668,0,0,0,0,0.011980436841337,0,0,0,0,0
XRP,0,0,0,0,0,0,0.105708303213861,0,0.137630709632935,0.185723961014616,0.120670852257518,0,0,0.0271580749386444,0,0,0,0,0,0
BCH,0,0.320886664018526,0,0,0.0535902682927836,0.0821306757063293,0,0,0,0.105497929872447,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.34474500623747,0,0,0.134297024231568,0,0.0983326567280811,0.0680545864285058,0.0771946836685388,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.290622204316511,0,0,0,0.142219205840707,0,0.22060799470968,0,0,0,0,0,0,0,0,0,0
EOS,0,0.00000000000000000173472347597681,0,0.243962894201856,0,0,0,0,0,0.141928223505937,0.148062602550624,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.501603121322948,0,0,0,0,0,0.0600466544402643,0,0,0,0,0,0,0,0,0,0
XLM,0,0.182812927963119,0.590351352639015,0,0,0,0,0.0514739511836347,0,0,0,0,0,0,0,0,0,0,0,0.0413447683802426
TRX,0,0,0,0,0,0,0.165218122428788,0,0.108616643464038,0,0.515518342953103,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.046762624630618,0,0.141633370605145,0.139784877720033,0.0415218488178529,0,0.255472870536407,0,0,0,0.0172073263670199,0,0,0,0,0,0
LEO,0,0,0,0,0.133512497798375,0,-0.0597853869033061,0,-0.00000000000000000000042351647362715,0,0,0,0.00511326537058736,0.0580322483907376,0,0,0.0869039785219391,0,0,0
XMR,0,0,0,0.320522713637262,0.0435111919877569,0.0511550773639555,0,0.0799151070152872,0.0759200692148374,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0.20420325786988,0,0,0.125026453409802,0,0,0,0.243122646056604,0,0,0,0,0,0,0,0,0,0
HT,0,0.0522067900056365,0,0.0919426770350295,0,0,0.040721591297267,0,0,0.0790410466467987,0.0408648133515552,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17137837857472
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0859280712308464
VIX.INDEX,0,0,0,0,0.00000299836821987443,0,-0.00000000000000000000042351647362715,0,0,0,0,0,0,0,0,-0.232473457262851,0,0,-3.74975429369229,0
