,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.108115147109571,0.0365734833130221,0,0,0,0.0615707742820828,0,0,0,0,0,0.0235505451947022,0,0,0,0,0
ETH,0,0,0,0,0.0918616855909763,0,0,0.0460005543153147,0,0.0504101428090755,0.254006627519262,0.0377161427591273,0,0.0226003020205287,0,0,0,0,0,0
XRP,0,0,0,0,0.114733033502519,0,0,0,0,0.299010979799895,0.0291825539048466,0,0,0.029408943887604,0,0,0,0,0,0
BCH,0,0,0,0,0.0630133591540238,0,0,0.147660568856825,0.0651459458888097,0.0870054735255903,0.189431804277815,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.00633079442171918,0.0115536544048628,0.0502804813912758,0.167050309660159,0,0,0.245879994838168,0.00651184215162916,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.366032852437253,0.0608000859363356,0,0,0,0,0,0.256017028578724,0,0,0,0,0
LTC,0,0,0,0.335536504656585,0.0518618776486144,0,0,0,0,0.0894690713934292,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0304093645976971,0.138085939155373,0.113791092543955,0,0,0,0,0.231077035940741,0,0,0.0846991124501242,0.0603024699980085,0,0,0,0,0
XMR,0,0,0,0.613438335698158,0,0,0,0,0,0.0512615996202955,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0624693431967278,0.0153833364032752,0,0,0,0,0,0,0.0544966832811311,0,0.582037891421695,0,0,0,0,0,0
TRX,0,0,0,0.0975228388729946,0.196189812789667,0,0,0.103090972493065,0,0.188359045508067,0,0,0,0.103041789790161,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.0781960143820883,0,0.248359792040175,0.168936883786257,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.10408261482823,0.0338128422696515,0.135169315176019,0,0,0,0.208933079270688,0,0,0,0,0,0
NEO,0,0,0,0,0.289375066621347,0,0,0,0,0.404136426201535,0.0332296016307466,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.0539750003301493,0.0934250789975536,0,0.221073349707162,0,0.128175470020183,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00257985846181759,0,0,0,0,0.0109707452538118,0,0,0,0,0,0,0,0,-0.061770261503104
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000745668815339659,0,0,0.0222740597804344,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471212739220902
VIX.INDEX,0,0,0,0,0,-0.00000325428905632187,0,0,-0.000000230486144646613,0,0,0,0,0,0,0,1.00291747398481,0,0,0
