,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.113607327890402,0.026084756787307,0,0,0,0.0846909809023546,0,0,0,0,0,0.0387042585931126,0,0,0,0,0
ETH,0,0,0,0,-0.00000000000000000346944695195361,0,0,0,0,0.0788128882867664,0.00886671206960011,0.0850245423159708,0,0.302083143134329,0,0,0,0,0,0
XRP,0,0,0,0,0.0620196841164709,0,0,0,0,0.0763360499895092,0.299251577653694,0,0,0.0217196750543298,0,0,0,0,0,0
BCH,0,0,0,0,0.0700432286081066,0,0,0.1501627482805,0.0601806633970238,0.177812110572686,0.08194204079502,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.00069015337377549,0.0268087510223539,0.171910687226456,0.0350792390438144,0.0157525771261094,0,0.245970186170531,0.0330988538590093,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.375238502606703,0,0,0.0715024622019753,0,0,0,0.178561753193303,0,0,0,0,0
LTC,0,0,0,0.468451323917629,0.0484290666523932,0,0,0,0,0,0.0897149604316832,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.142114560234861,0.107569684362329,0,0,0,0.242894885284465,0,0,0,0.0788276792016292,0.0558076962261514,0,0,0,0,0
XMR,0,0,0,0.66140758558106,0,0,0,0.0619345523138458,0,0,0.0221172929959495,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.201345491089962,0,0,0.140614309113619,0,0,0.197631134160374,0,0,0.075104440049029,0,0,0,0,0,0
MIOTA,0,0,0,0.0593257364227223,0.0197261069436047,0,0,0,0,0,0,0.0552287414036717,0,0.580405153426128,0,0,0,0,0,0
ETC,0,0,0,0,0.00598823701310867,0,0,0,0.125908840558821,0,0.378528633604148,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0730806053865567,0,0,0,0.0632708670658142,0,0,0.138969850673561,0,0,0.231608159674242,0,0,0,0,0,0
NEO,0,0,0,0,0.265353771821742,0,0,0,0,0.0287564656292152,0.437663660436601,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.0610413779536849,0.0803839079297028,0,0.204979525863866,0,0,0.128304800357373,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0.0144687681665684,0,0,0,0,0,0,0,0,0,-0.0611288738088443
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0.000000296326398067724,0,0,0,0,0,0,0.000000572112818352794,0.0000000289779845011537,-0.000000577193016444665,0,0,0.0571556064145752,0,0,-0.00815744264414176
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497095864259379
VIX.INDEX,0,0,0,0,0,-0.00000226644185118522,0,-0.000000775724938218943,-0.000000152240413760837,0,0,0,0,0,0,0,1.00290391449355,0,0,0
